chr1	NC_006088.5
chrW_NW_020109798v1_random	NW_020109798.1
chrW_NW_020109797v1_random	NW_020109797.1
chrW_NW_020109787v1_random	NW_020109787.1
chrW_NW_020109779v1_random	NW_020109779.1
chrW_NW_020109806v1_random	NW_020109806.1
chrW_NW_020109818v1_random	NW_020109818.1
chrW_NW_020109807v1_random	NW_020109807.1
chrW_NW_020109825v1_random	NW_020109825.1
chrW_NW_020109821v1_random	NW_020109821.1
chrW_NW_020109813v1_random	NW_020109813.1
chrW_NW_020109809v1_random	NW_020109809.1
chrW_NW_020109799v1_random	NW_020109799.1
chrW_NW_020109788v1_random	NW_020109788.1
chrW_NW_020109775v1_random	NW_020109775.1
chrW_NW_020109803v1_random	NW_020109803.1
chrW_NW_020109816v1_random	NW_020109816.1
chrW_NW_020109794v1_random	NW_020109794.1
chrW_NW_020109780v1_random	NW_020109780.1
chrW_NW_020109783v1_random	NW_020109783.1
chrW_NW_020109811v1_random	NW_020109811.1
chrW_NW_020109824v1_random	NW_020109824.1
chrW_NW_020109792v1_random	NW_020109792.1
chrZ_NW_020109829v1_random	NW_020109829.1
chrUn_NW_020109839v1	NW_020109839.1
chrUn_NW_020110168v1	NW_020110168.1
chrUn_NW_020109833v1	NW_020109833.1
chrUn_NW_020109887v1	NW_020109887.1
chrUn_NW_020110117v1	NW_020110117.1
chrUn_NW_020110056v1	NW_020110056.1
chrUn_NW_020109854v1	NW_020109854.1
chrUn_NW_020109971v1	NW_020109971.1
chrUn_NW_020109897v1	NW_020109897.1
chrUn_NW_020110030v1	NW_020110030.1
chrUn_NW_020109873v1	NW_020109873.1
chrUn_NW_020109927v1	NW_020109927.1
chrUn_NW_020109931v1	NW_020109931.1
chrUn_NW_020110002v1	NW_020110002.1
chrUn_NW_020109852v1	NW_020109852.1
chrUn_NW_020110019v1	NW_020110019.1
chrUn_NW_020109889v1	NW_020109889.1
chrUn_NW_020109883v1	NW_020109883.1
chrUn_NW_020109911v1	NW_020109911.1
chrUn_NW_020110078v1	NW_020110078.1
chrUn_NW_020110074v1	NW_020110074.1
chrUn_NW_020109969v1	NW_020109969.1
chrUn_NW_020110073v1	NW_020110073.1
chrUn_NW_020110017v1	NW_020110017.1
chrUn_NW_020110126v1	NW_020110126.1
chrUn_NW_020109977v1	NW_020109977.1
chrUn_NW_020109953v1	NW_020109953.1
chrUn_NW_020109913v1	NW_020109913.1
chrUn_NW_020109890v1	NW_020109890.1
chrUn_NW_020110025v1	NW_020110025.1
chrUn_NW_020109923v1	NW_020109923.1
chrUn_NW_020109853v1	NW_020109853.1
chrUn_NW_020109999v1	NW_020109999.1
chrUn_NW_020109955v1	NW_020109955.1
chrUn_NW_020109929v1	NW_020109929.1
chrUn_NW_020109908v1	NW_020109908.1
chrUn_NW_020109843v1	NW_020109843.1
chrUn_NW_020110149v1	NW_020110149.1
chrUn_NW_020109968v1	NW_020109968.1
chrUn_NW_020109885v1	NW_020109885.1
chrUn_NW_020110081v1	NW_020110081.1
chrUn_NW_020109836v1	NW_020109836.1
chrUn_NW_020109922v1	NW_020109922.1
chrUn_NW_020110065v1	NW_020110065.1
chrUn_NW_020110112v1	NW_020110112.1
chrUn_NW_020110008v1	NW_020110008.1
chrUn_NW_020110094v1	NW_020110094.1
chrUn_NW_020110058v1	NW_020110058.1
chrUn_NW_020110066v1	NW_020110066.1
chrUn_NW_020110109v1	NW_020110109.1
chrUn_NW_020110068v1	NW_020110068.1
chrUn_NW_020110088v1	NW_020110088.1
chrUn_NW_020109991v1	NW_020109991.1
chrUn_NW_020109937v1	NW_020109937.1
chrUn_NW_020109920v1	NW_020109920.1
chrUn_NW_020109932v1	NW_020109932.1
chrUn_NW_020109851v1	NW_020109851.1
chrUn_NW_020109978v1	NW_020109978.1
chrUn_NW_020109949v1	NW_020109949.1
chrUn_NW_020109863v1	NW_020109863.1
chrUn_NW_020110090v1	NW_020110090.1
chrUn_NW_020109892v1	NW_020109892.1
chrUn_NW_020109982v1	NW_020109982.1
chrUn_NW_020110145v1	NW_020110145.1
chrUn_NW_020110147v1	NW_020110147.1
chrUn_NW_020110134v1	NW_020110134.1
chrUn_NW_020110127v1	NW_020110127.1
chrUn_NW_020110121v1	NW_020110121.1
chrUn_NW_020110122v1	NW_020110122.1
chrUn_NW_020110099v1	NW_020110099.1
chrUn_NW_020110085v1	NW_020110085.1
chrUn_NW_020110118v1	NW_020110118.1
chrUn_NW_020109957v1	NW_020109957.1
chrUn_NW_020110063v1	NW_020110063.1
chrUn_NW_020110087v1	NW_020110087.1
chrUn_NW_020110086v1	NW_020110086.1
chrUn_NW_020110150v1	NW_020110150.1
chrUn_NW_020109916v1	NW_020109916.1
chrUn_NW_020109941v1	NW_020109941.1
chrUn_NW_020109831v1	NW_020109831.1
chrUn_NW_020110136v1	NW_020110136.1
chrUn_NW_020110014v1	NW_020110014.1
chrUn_NW_020109963v1	NW_020109963.1
chrUn_NW_020109867v1	NW_020109867.1
chrUn_NW_020110045v1	NW_020110045.1
chrUn_NW_020109865v1	NW_020109865.1
chrUn_NW_020109940v1	NW_020109940.1
chrUn_NW_020110000v1	NW_020110000.1
chrUn_NW_020109972v1	NW_020109972.1
chrUn_NW_020110115v1	NW_020110115.1
chrUn_NW_020110011v1	NW_020110011.1
chrUn_NW_020109909v1	NW_020109909.1
chrUn_NW_020109868v1	NW_020109868.1
chrUn_NW_020109996v1	NW_020109996.1
chrUn_NW_020110067v1	NW_020110067.1
chrUn_NW_020110055v1	NW_020110055.1
chrUn_NW_020110036v1	NW_020110036.1
chrUn_NW_020110020v1	NW_020110020.1
chrUn_NW_020109992v1	NW_020109992.1
chrUn_NW_020109933v1	NW_020109933.1
chrUn_NW_020109903v1	NW_020109903.1
chrUn_NW_020109936v1	NW_020109936.1
chrUn_NW_020109944v1	NW_020109944.1
chrUn_NW_020110102v1	NW_020110102.1
chrUn_NW_020109905v1	NW_020109905.1
chrUn_NW_020109918v1	NW_020109918.1
chrUn_NW_020109906v1	NW_020109906.1
chrUn_NW_020110083v1	NW_020110083.1
chrUn_NW_020110005v1	NW_020110005.1
chrUn_NW_020109886v1	NW_020109886.1
chrUn_NW_020110028v1	NW_020110028.1
chrUn_NW_020110114v1	NW_020110114.1
chrUn_NW_020110043v1	NW_020110043.1
chrUn_NW_020110006v1	NW_020110006.1
chrUn_NW_020109884v1	NW_020109884.1
chrUn_NW_020109993v1	NW_020109993.1
chrUn_NW_020109960v1	NW_020109960.1
chrUn_NW_020110084v1	NW_020110084.1
chrUn_NW_020109959v1	NW_020109959.1
chrUn_NW_020109910v1	NW_020109910.1
chrUn_NW_020109859v1	NW_020109859.1
chrUn_NW_020110137v1	NW_020110137.1
chrUn_NW_020110132v1	NW_020110132.1
chrUn_NW_020110091v1	NW_020110091.1
chrUn_NW_020110152v1	NW_020110152.1
chrUn_NW_020110142v1	NW_020110142.1
chrUn_NW_020110113v1	NW_020110113.1
chrUn_NW_020109926v1	NW_020109926.1
chrUn_NW_020109881v1	NW_020109881.1
chrUn_NW_020109928v1	NW_020109928.1
chrUn_NW_020109875v1	NW_020109875.1
chrUn_NW_020109870v1	NW_020109870.1
chrUn_NW_020109934v1	NW_020109934.1
chrUn_NW_020110079v1	NW_020110079.1
chrUn_NW_020109866v1	NW_020109866.1
chrUn_NW_020109919v1	NW_020109919.1
chrUn_NW_020109980v1	NW_020109980.1
chrUn_NW_020109830v1	NW_020109830.1
chrUn_NW_020110131v1	NW_020110131.1
chrUn_NW_020110104v1	NW_020110104.1
chrUn_NW_020110064v1	NW_020110064.1
chrUn_NW_020109895v1	NW_020109895.1
chrUn_NW_020110069v1	NW_020110069.1
chrUn_NW_020110089v1	NW_020110089.1
chrUn_NW_020110046v1	NW_020110046.1
chrUn_NW_020110018v1	NW_020110018.1
chrUn_NW_020109990v1	NW_020109990.1
chrUn_NW_020109952v1	NW_020109952.1
chrUn_NW_020109939v1	NW_020109939.1
chrUn_NW_020109893v1	NW_020109893.1
chrUn_NW_020110076v1	NW_020110076.1
chrUn_NW_020110049v1	NW_020110049.1
chrUn_NW_020109924v1	NW_020109924.1
chrUn_NW_020110038v1	NW_020110038.1
chrUn_NW_020110106v1	NW_020110106.1
chrUn_NW_020110062v1	NW_020110062.1
chrUn_NW_020109902v1	NW_020109902.1
chrUn_NW_020110129v1	NW_020110129.1
chrUn_NW_020110061v1	NW_020110061.1
chrUn_NW_020110024v1	NW_020110024.1
chrUn_NW_020109832v1	NW_020109832.1
chrUn_NW_020110123v1	NW_020110123.1
chrUn_NW_020110100v1	NW_020110100.1
chrUn_NW_020109869v1	NW_020109869.1
chrUn_NW_020109888v1	NW_020109888.1
chrUn_NW_020109872v1	NW_020109872.1
chrUn_NW_020109856v1	NW_020109856.1
chrUn_NW_020109947v1	NW_020109947.1
chrUn_NW_020110059v1	NW_020110059.1
chrUn_NW_020109958v1	NW_020109958.1
chrUn_NW_020109994v1	NW_020109994.1
chrUn_NW_020109862v1	NW_020109862.1
chrUn_NW_020109998v1	NW_020109998.1
chrUn_NW_020109974v1	NW_020109974.1
chrUn_NW_020110119v1	NW_020110119.1
chrUn_NW_020109876v1	NW_020109876.1
chrUn_NW_020110092v1	NW_020110092.1
chrUn_NW_020109850v1	NW_020109850.1
chrUn_NW_020109987v1	NW_020109987.1
chrUn_NW_020110097v1	NW_020110097.1
chrUn_NW_020110148v1	NW_020110148.1
chrUn_NW_020110124v1	NW_020110124.1
chrUn_NW_020109997v1	NW_020109997.1
chrUn_NW_020109877v1	NW_020109877.1
chrUn_NW_020109840v1	NW_020109840.1
chrUn_NW_020109945v1	NW_020109945.1
chrUn_NW_020110120v1	NW_020110120.1
chrUn_NW_020110057v1	NW_020110057.1
chrUn_NW_020110139v1	NW_020110139.1
chrUn_NW_020109954v1	NW_020109954.1
chrUn_NW_020109948v1	NW_020109948.1
chrUn_NW_020109907v1	NW_020109907.1
chrUn_NW_020110146v1	NW_020110146.1
chrUn_NW_020109956v1	NW_020109956.1
chrUn_NW_020109962v1	NW_020109962.1
chrUn_NW_020110051v1	NW_020110051.1
chrUn_NW_020110110v1	NW_020110110.1
chrUn_NW_020110047v1	NW_020110047.1
chrUn_NW_020110029v1	NW_020110029.1
chrUn_NW_020110040v1	NW_020110040.1
chrUn_NW_020109838v1	NW_020109838.1
chrUn_NW_020110096v1	NW_020110096.1
chrUn_NW_020110033v1	NW_020110033.1
chrUn_NW_020110048v1	NW_020110048.1
chrUn_NW_020110035v1	NW_020110035.1
chrUn_NW_020110101v1	NW_020110101.1
chrUn_NW_020110093v1	NW_020110093.1
chrUn_NW_020109912v1	NW_020109912.1
chrUn_NW_020109914v1	NW_020109914.1
chrUn_NW_020110004v1	NW_020110004.1
chrUn_NW_020109989v1	NW_020109989.1
chrUn_NW_020109880v1	NW_020109880.1
chrUn_NW_020109925v1	NW_020109925.1
chrUn_NW_020110151v1	NW_020110151.1
chrUn_NW_020110075v1	NW_020110075.1
chrUn_NW_020110169v1	NW_020110169.1
chrUn_NW_020110052v1	NW_020110052.1
chrUn_NW_020110166v1	NW_020110166.1
chrUn_NW_020109901v1	NW_020109901.1
chrUn_NW_020110144v1	NW_020110144.1
chrUn_NW_020109981v1	NW_020109981.1
chrUn_NW_020109965v1	NW_020109965.1
chrUn_NW_020109930v1	NW_020109930.1
chrUn_NW_020109915v1	NW_020109915.1
chrUn_NW_020109943v1	NW_020109943.1
chrUn_NW_020110143v1	NW_020110143.1
chrUn_NW_020110141v1	NW_020110141.1
chrUn_NW_020109975v1	NW_020109975.1
chrUn_NW_020110070v1	NW_020110070.1
chrUn_NW_020109984v1	NW_020109984.1
chrUn_NW_020110128v1	NW_020110128.1
chrUn_NW_020110044v1	NW_020110044.1
chrUn_NW_020109986v1	NW_020109986.1
chrUn_NW_020109973v1	NW_020109973.1
chrUn_NW_020110015v1	NW_020110015.1
chrUn_NW_020109834v1	NW_020109834.1
chrUn_NW_020110050v1	NW_020110050.1
chrUn_NW_020110105v1	NW_020110105.1
chrUn_NW_020110060v1	NW_020110060.1
chrUn_NW_020110010v1	NW_020110010.1
chrUn_NW_020109966v1	NW_020109966.1
chrUn_NW_020109837v1	NW_020109837.1
chrUn_NW_020110054v1	NW_020110054.1
chrUn_NW_020110111v1	NW_020110111.1
chrUn_NW_020110032v1	NW_020110032.1
chrUn_NW_020110135v1	NW_020110135.1
chrUn_NW_020110095v1	NW_020110095.1
chrUn_NW_020110077v1	NW_020110077.1
chrUn_NW_020110080v1	NW_020110080.1
chrUn_NW_020110039v1	NW_020110039.1
chrUn_NW_020110037v1	NW_020110037.1
chrUn_NW_020110031v1	NW_020110031.1
chrUn_NW_020110027v1	NW_020110027.1
chrUn_NW_020110021v1	NW_020110021.1
chrUn_NW_020110013v1	NW_020110013.1
chrUn_NW_020110053v1	NW_020110053.1
chrUn_NW_020109961v1	NW_020109961.1
chrUn_NW_020110130v1	NW_020110130.1
chrUn_NW_020110007v1	NW_020110007.1
chrUn_NW_020110138v1	NW_020110138.1
chrUn_NW_020110003v1	NW_020110003.1
chrUn_NW_020109946v1	NW_020109946.1
chrUn_NW_020110034v1	NW_020110034.1
chrUn_NW_020109976v1	NW_020109976.1
chrUn_NW_020110140v1	NW_020110140.1
chrUn_NW_020110071v1	NW_020110071.1
chrUn_NW_020110103v1	NW_020110103.1
chrUn_NW_020109964v1	NW_020109964.1
chrUn_NW_020110116v1	NW_020110116.1
chrUn_NW_020110022v1	NW_020110022.1
chrUn_NW_020109894v1	NW_020109894.1
chrUn_NW_020110026v1	NW_020110026.1
chrUn_NW_020110009v1	NW_020110009.1
chrUn_NW_020109970v1	NW_020109970.1
chrUn_NW_020110041v1	NW_020110041.1
chrUn_NW_020109864v1	NW_020109864.1
chrUn_NW_020110016v1	NW_020110016.1
chrUn_NW_020109935v1	NW_020109935.1
chrUn_NW_020109942v1	NW_020109942.1
chrUn_NW_020109950v1	NW_020109950.1
chrUn_NW_020109874v1	NW_020109874.1
chrUn_NW_020110108v1	NW_020110108.1
chrUn_NW_020110098v1	NW_020110098.1
chrUn_NW_020109835v1	NW_020109835.1
chrUn_NW_020109898v1	NW_020109898.1
chrUn_NW_020110107v1	NW_020110107.1
chrUn_NW_020110133v1	NW_020110133.1
chrUn_NW_020110125v1	NW_020110125.1
chrUn_NW_020110012v1	NW_020110012.1
chrUn_NW_020109900v1	NW_020109900.1
chrUn_NW_020109985v1	NW_020109985.1
chrUn_NW_020109917v1	NW_020109917.1
chrUn_NW_020110072v1	NW_020110072.1
chrUn_NW_020109842v1	NW_020109842.1
chrUn_NW_020109878v1	NW_020109878.1
chrUn_NW_020109871v1	NW_020109871.1
chrUn_NW_020110001v1	NW_020110001.1
chrUn_NW_020109995v1	NW_020109995.1
chrUn_NW_020110023v1	NW_020110023.1
chrUn_NW_020109951v1	NW_020109951.1
chrUn_NW_020110042v1	NW_020110042.1
chrUn_NW_020109983v1	NW_020109983.1
chrUn_NW_020110082v1	NW_020110082.1
chrUn_NW_020109988v1	NW_020109988.1
chrUn_NW_020109879v1	NW_020109879.1
chrUn_NW_020109858v1	NW_020109858.1
chrUn_NW_020109979v1	NW_020109979.1
chrUn_NW_020109967v1	NW_020109967.1
chrUn_NW_020109904v1	NW_020109904.1
chrUn_NW_020109848v1	NW_020109848.1
chrUn_NW_020109845v1	NW_020109845.1
chrUn_NW_020109846v1	NW_020109846.1
chrUn_NW_020109896v1	NW_020109896.1
chrUn_NW_020109860v1	NW_020109860.1
chrUn_NW_020109847v1	NW_020109847.1
chrUn_NW_020109861v1	NW_020109861.1
chrUn_NW_020109921v1	NW_020109921.1
chrUn_NW_020109857v1	NW_020109857.1
chrUn_NW_020109849v1	NW_020109849.1
chrUn_NW_020109882v1	NW_020109882.1
chrUn_NW_020109891v1	NW_020109891.1
chrUn_NW_020109855v1	NW_020109855.1
chrUn_NW_020109844v1	NW_020109844.1
chrUn_NW_020109899v1	NW_020109899.1
chrUn_NW_020109841v1	NW_020109841.1
chrUn_NW_020109938v1	NW_020109938.1
chrUn_NW_020110153v1	NW_020110153.1
chrUn_NW_020110154v1	NW_020110154.1
chrUn_NW_020110155v1	NW_020110155.1
chrUn_NW_020110156v1	NW_020110156.1
chrUn_NW_020110157v1	NW_020110157.1
chrUn_NW_020110158v1	NW_020110158.1
chrUn_NW_020110159v1	NW_020110159.1
chrUn_NW_020110160v1	NW_020110160.1
chrUn_NW_020110161v1	NW_020110161.1
chrUn_NW_020110162v1	NW_020110162.1
chrUn_NW_020110163v1	NW_020110163.1
chrUn_NW_020110164v1	NW_020110164.1
chrUn_NW_020110165v1	NW_020110165.1
chrUn_NW_020110167v1	NW_020110167.1
chrM	NC_001323.1
