1	NC_006088.5
AADN05001321.1	NW_020109924.1
AADN05001322.1	NW_020110038.1
AADN05001323.1	NW_020110106.1
AADN05001324.1	NW_020110062.1
AADN05001325.1	NW_020109902.1
AADN05001326.1	NW_020110129.1
AADN05001327.1	NW_020110061.1
AADN05001328.1	NW_020110024.1
AADN05001329.1	NW_020109832.1
AADN05001330.1	NW_020110123.1
AADN05001331.1	NW_020110100.1
AADN05001332.1	NW_020109869.1
AADN05001333.1	NW_020109888.1
AADN05001334.1	NW_020109872.1
AADN05001335.1	NW_020109856.1
AADN05001336.1	NW_020109947.1
AADN05001337.1	NW_020110059.1
AADN05001338.1	NW_020109958.1
AADN05001339.1	NW_020109994.1
AADN05001340.1	NW_020109862.1
AADN05001341.1	NW_020109998.1
AADN05001342.1	NW_020109974.1
AADN05001343.1	NW_020110119.1
AADN05001344.1	NW_020109876.1
AADN05001345.1	NW_020110092.1
AADN05001346.1	NW_020109850.1
AADN05001347.1	NW_020109987.1
AADN05001348.1	NW_020110097.1
AADN05001349.1	NW_020110148.1
AADN05001350.1	NW_020110124.1
AADN05001351.1	NW_020109997.1
AADN05001352.1	NW_020109877.1
AADN05001353.1	NW_020109840.1
AADN05001354.1	NW_020109945.1
AADN05001355.1	NW_020110120.1
AADN05001356.1	NW_020110057.1
AADN05001357.1	NW_020110139.1
AADN05001358.1	NW_020109954.1
AADN05001359.1	NW_020109948.1
AADN05001360.1	NW_020109907.1
AADN05001361.1	NW_020110146.1
AADN05001363.1	NW_020109956.1
AADN05001364.1	NW_020109962.1
AADN05001365.1	NW_020110051.1
AADN05001366.1	NW_020110110.1
AADN05001367.1	NW_020110047.1
AADN05001368.1	NW_020110029.1
AADN05001369.1	NW_020110040.1
AADN05001371.1	NW_020109838.1
AADN05001372.1	NW_020110096.1
AADN05001374.1	NW_020110033.1
AADN05001375.1	NW_020110048.1
AADN05001376.1	NW_020110035.1
AADN05001377.1	NW_020110101.1
AADN05001378.1	NW_020110093.1
AADN05001379.1	NW_020109912.1
AADN05001380.1	NW_020109914.1
AADN05001381.1	NW_020110004.1
AADN05001382.1	NW_020109989.1
AADN05001383.1	NW_020109880.1
AADN05001384.1	NW_020109925.1
AADN05001385.1	NW_020110151.1
AADN05001386.1	NW_020110075.1
AADN05001387.1	NW_020110169.1
AADN05001388.1	NW_020110052.1
AADN05001391.1	NW_020110166.1
AADN05001392.1	NW_020109901.1
AADN05001393.1	NW_020110144.1
AADN05001394.1	NW_020109981.1
AADN05001395.1	NW_020109965.1
AADN05001396.1	NW_020109930.1
AADN05001397.1	NW_020109915.1
AADN05001398.1	NW_020109943.1
AADN05001399.1	NW_020110143.1
AADN05001400.1	NW_020110141.1
AADN05001401.1	NW_020109975.1
AADN05001402.1	NW_020110070.1
AADN05001404.1	NW_020109984.1
AADN05001405.1	NW_020110128.1
AADN05001407.1	NW_020110044.1
AADN05001408.1	NW_020109986.1
AADN05001409.1	NW_020109973.1
AADN05001411.1	NW_020110015.1
AADN05001414.1	NW_020109834.1
AADN05001415.1	NW_020110050.1
AADN05001416.1	NW_020110105.1
AADN05001417.1	NW_020110060.1
AADN05001418.1	NW_020110010.1
AADN05001419.1	NW_020109966.1
AADN05001420.1	NW_020109837.1
AADN05001421.1	NW_020110054.1
AADN05001422.1	NW_020110111.1
AADN05001430.1	NW_020110032.1
AADN05001432.1	NW_020110135.1
AADN05001437.1	NW_020110095.1
AADN05001440.1	NW_020110077.1
AADN05001441.1	NW_020110080.1
AADN05001443.1	NW_020110039.1
AADN05001444.1	NW_020110037.1
AADN05001446.1	NW_020110031.1
AADN05001447.1	NW_020110027.1
AADN05001448.1	NW_020110021.1
AADN05001454.1	NW_020110013.1
AADN05001455.1	NW_020110053.1
AADN05001456.1	NW_020109961.1
AADN05001460.1	NW_020110130.1
AADN05001463.1	NW_020110007.1
AADN05001464.1	NW_020110138.1
AADN05001465.1	NW_020110003.1
AADN05001473.1	NW_020109946.1
AADN05001474.1	NW_020110034.1
AADN05001475.1	NW_020109976.1
AADN05001476.1	NW_020110140.1
AADN05001477.1	NW_020110071.1
AADN05001478.1	NW_020110103.1
AADN05001481.1	NW_020109964.1
AADN05001483.1	NW_020110116.1
AADN05001484.1	NW_020110022.1
AADN05001485.1	NW_020109894.1
AADN05001486.1	NW_020110026.1
AADN05001487.1	NW_020110009.1
AADN05001488.1	NW_020109970.1
AADN05001489.1	NW_020110041.1
AADN05001490.1	NW_020109864.1
AADN05001491.1	NW_020110016.1
AADN05001492.1	NW_020109935.1
AADN05001493.1	NW_020109942.1
AADN05001494.1	NW_020109950.1
AADN05001495.1	NW_020109874.1
AADN05001496.1	NW_020110108.1
AADN05001497.1	NW_020110098.1
AADN05001498.1	NW_020109835.1
AADN05001502.1	NW_020109898.1
AADN05001503.1	NW_020110107.1
AADN05001504.1	NW_020110133.1
AADN05001505.1	NW_020110125.1
AADN05001508.1	NW_020110012.1
AADN05001509.1	NW_020109900.1
AADN05001510.1	NW_020109985.1
AADN05001511.1	NW_020109917.1
AADN05001512.1	NW_020110072.1
AADN05001513.1	NW_020109842.1
AADN05001514.1	NW_020109878.1
AADN05001515.1	NW_020109871.1
AADN05001516.1	NW_020110001.1
AADN05001517.1	NW_020109995.1
AADN05001519.1	NW_020110023.1
AADN05001520.1	NW_020109951.1
AADN05001521.1	NW_020110042.1
AADN05001522.1	NW_020109983.1
AADN05001524.1	NW_020110082.1
AADN05001525.1	NW_020109988.1
AADN05001540.1	NW_020109879.1
AADN05001541.1	NW_020109858.1
AADN05001542.1	NW_020109979.1
AADN05001543.1	NW_020109967.1
AADN05001544.1	NW_020109904.1
AADN05001545.1	NW_020109848.1
AADN05001546.1	NW_020109845.1
AADN05001547.1	NW_020109846.1
AADN05001550.1	NW_020109896.1
AADN05001552.1	NW_020109860.1
AADN05001553.1	NW_020109847.1
AADN05001555.1	NW_020109861.1
AADN05001556.1	NW_020109921.1
AADN05001557.1	NW_020109857.1
AADN05001558.1	NW_020109849.1
AADN05001559.1	NW_020109882.1
AADN05001560.1	NW_020109891.1
AADN05001561.1	NW_020109855.1
AADN05001562.1	NW_020109844.1
AADN05001563.1	NW_020109899.1
KZ626824.1	NW_020109841.1
KZ626825.1	NW_020109938.1
KZ626826.1	NW_020110153.1
KZ626827.1	NW_020110154.1
KZ626828.1	NW_020110155.1
KZ626829.1	NW_020110156.1
KZ626830.1	NW_020110157.1
KZ626831.1	NW_020110158.1
KZ626832.1	NW_020110159.1
KZ626833.1	NW_020110160.1
KZ626834.1	NW_020110161.1
KZ626835.1	NW_020110162.1
KZ626836.1	NW_020110163.1
KZ626837.1	NW_020110164.1
KZ626838.1	NW_020110165.1
KZ626839.1	NW_020110167.1
MT 	NC_001323.1
