chr1L	chr1L
Scaffold100068	chrUn_NW_016787336v1
Scaffold100069	chrUn_NW_016787337v1
Scaffold10007	chrUn_NW_016704038v1
Scaffold100070	chrUn_NW_016787338v1
Scaffold100071	chrUn_NW_016787339v1
Scaffold100072	chrUn_NW_016787340v1
Scaffold100073	chrUn_NW_016787341v1
Scaffold100074	chrUn_NW_016787342v1
Scaffold100075	chrUn_NW_016787343v1
Scaffold100076	chrUn_NW_016787344v1
Scaffold100077	chrUn_NW_016787345v1
Scaffold100078	chrUn_NW_016787346v1
Scaffold100079	chrUn_NW_016787347v1
Scaffold10008	chrUn_NW_016704039v1
Scaffold100080	chrUn_NW_016787348v1
Scaffold100081	chrUn_NW_016787349v1
Scaffold100082	chrUn_NW_016787350v1
Scaffold100083	chrUn_NW_016787351v1
Scaffold100084	chrUn_NW_016787352v1
Scaffold100085	chrUn_NW_016787353v1
Scaffold100086	chrUn_NW_016787354v1
Scaffold100087	chrUn_NW_016787355v1
Scaffold100088	chrUn_NW_016787356v1
Scaffold100089	chrUn_NW_016787357v1
Scaffold10009	chrUn_NW_016704040v1
Scaffold100090	chrUn_NW_016787358v1
Scaffold100091	chrUn_NW_016787359v1
Scaffold100092	chrUn_NW_016787360v1
Scaffold100093	chrUn_NW_016787361v1
Scaffold100094	chrUn_NW_016787362v1
Scaffold100095	chrUn_NW_016787363v1
Scaffold100096	chrUn_NW_016787364v1
Scaffold100097	chrUn_NW_016787365v1
Scaffold100098	chrUn_NW_016787366v1
Scaffold100099	chrUn_NW_016787367v1
Scaffold1001	chrUn_NW_016695784v1
Scaffold10010	chrUn_NW_016704041v1
Scaffold100100	chrUn_NW_016787368v1
Scaffold100101	chrUn_NW_016787369v1
Scaffold100102	chrUn_NW_016787370v1
Scaffold100103	chrUn_NW_016787371v1
Scaffold100104	chrUn_NW_016787372v1
Scaffold100105	chrUn_NW_016787373v1
Scaffold100106	chrUn_NW_016787374v1
Scaffold100107	chrUn_NW_016787375v1
Scaffold100108	chrUn_NW_016787376v1
Scaffold100109	chrUn_NW_016787377v1
Scaffold10011	chrUn_NW_016704042v1
Scaffold100110	chrUn_NW_016787378v1
Scaffold100111	chrUn_NW_016787379v1
Scaffold100112	chrUn_NW_016787380v1
Scaffold100113	chrUn_NW_016787381v1
Scaffold100114	chrUn_NW_016787382v1
Scaffold100115	chrUn_NW_016787383v1
Scaffold100116	chrUn_NW_016787384v1
Scaffold100117	chrUn_NW_016787385v1
Scaffold100118	chrUn_NW_016787386v1
Scaffold100119	chrUn_NW_016787387v1
Scaffold10012	chrUn_NW_016704043v1
Scaffold100120	chrUn_NW_016787388v1
Scaffold100121	chrUn_NW_016787389v1
Scaffold100122	chrUn_NW_016787390v1
Scaffold100123	chrUn_NW_016787391v1
Scaffold100124	chrUn_NW_016787392v1
Scaffold100125	chrUn_NW_016787393v1
Scaffold100126	chrUn_NW_016787394v1
Scaffold100127	chrUn_NW_016787395v1
Scaffold100128	chrUn_NW_016787396v1
Scaffold100129	chrUn_NW_016787397v1
Scaffold10013	chrUn_NW_016704044v1
Scaffold100130	chrUn_NW_016787398v1
Scaffold100131	chrUn_NW_016787399v1
Scaffold100132	chrUn_NW_016787400v1
Scaffold100133	chrUn_NW_016787401v1
Scaffold100134	chrUn_NW_016787402v1
Scaffold100135	chrUn_NW_016787403v1
Scaffold100136	chrUn_NW_016787404v1
Scaffold100137	chrUn_NW_016787405v1
Scaffold100138	chrUn_NW_016787406v1
Scaffold100139	chrUn_NW_016787407v1
Scaffold10014	chrUn_NW_016704045v1
Scaffold100140	chrUn_NW_016787408v1
Scaffold100141	chrUn_NW_016787409v1
Scaffold100142	chrUn_NW_016787410v1
Scaffold100144	chrUn_NW_016787411v1
Scaffold100145	chrUn_NW_016787412v1
Scaffold100146	chrUn_NW_016787413v1
Scaffold100147	chrUn_NW_016787414v1
Scaffold100148	chrUn_NW_016787415v1
Scaffold100149	chrUn_NW_016787416v1
Scaffold10015	chrUn_NW_016704046v1
Scaffold100150	chrUn_NW_016787417v1
Scaffold100151	chrUn_NW_016787418v1
Scaffold100152	chrUn_NW_016787419v1
Scaffold100153	chrUn_NW_016787420v1
Scaffold100154	chrUn_NW_016787421v1
Scaffold100155	chrUn_NW_016787422v1
Scaffold100156	chrUn_NW_016787423v1
Scaffold100157	chrUn_NW_016787424v1
Scaffold100158	chrUn_NW_016787425v1
Scaffold100159	chrUn_NW_016787426v1
Scaffold10016	chrUn_NW_016704047v1
Scaffold100160	chrUn_NW_016787427v1
Scaffold100161	chrUn_NW_016787428v1
Scaffold100162	chrUn_NW_016787429v1
Scaffold100164	chrUn_NW_016787430v1
Scaffold100165	chrUn_NW_016787431v1
Scaffold100166	chrUn_NW_016787432v1
Scaffold100167	chrUn_NW_016787433v1
Scaffold100168	chrUn_NW_016787434v1
Scaffold100169	chrUn_NW_016787435v1
Scaffold10017	chrUn_NW_016704048v1
Scaffold100170	chrUn_NW_016787436v1
Scaffold100171	chrUn_NW_016787437v1
Scaffold100172	chrUn_NW_016787438v1
Scaffold100173	chrUn_NW_016787439v1
Scaffold100174	chrUn_NW_016787440v1
Scaffold100175	chrUn_NW_016787441v1
Scaffold100176	chrUn_NW_016787442v1
Scaffold100177	chrUn_NW_016787443v1
Scaffold100178	chrUn_NW_016787444v1
Scaffold100179	chrUn_NW_016787445v1
Scaffold10018	chrUn_NW_016704049v1
Scaffold100180	chrUn_NW_016787446v1
Scaffold100181	chrUn_NW_016787447v1
Scaffold100182	chrUn_NW_016787448v1
Scaffold100183	chrUn_NW_016787449v1
Scaffold100184	chrUn_NW_016787450v1
Scaffold100185	chrUn_NW_016787451v1
Scaffold100186	chrUn_NW_016787452v1
Scaffold100187	chrUn_NW_016787453v1
Scaffold100188	chrUn_NW_016787454v1
Scaffold100189	chrUn_NW_016787455v1
Scaffold10019	chrUn_NW_016704050v1
Scaffold100190	chrUn_NW_016787456v1
Scaffold100191	chrUn_NW_016787457v1
Scaffold100192	chrUn_NW_016787458v1
Scaffold100193	chrUn_NW_016787459v1
Scaffold100194	chrUn_NW_016787460v1
Scaffold100195	chrUn_NW_016787461v1
Scaffold100196	chrUn_NW_016787462v1
Scaffold100197	chrUn_NW_016787463v1
Scaffold100198	chrUn_NW_016787464v1
Scaffold100199	chrUn_NW_016787465v1
Scaffold1002	chrUn_NW_016695785v1
Scaffold10020	chrUn_NW_016704051v1
Scaffold100200	chrUn_NW_016787466v1
Scaffold100201	chrUn_NW_016787467v1
Scaffold100202	chrUn_NW_016787468v1
Scaffold100203	chrUn_NW_016787469v1
Scaffold100204	chrUn_NW_016787470v1
Scaffold100205	chrUn_NW_016787471v1
Scaffold100206	chrUn_NW_016787472v1
Scaffold100207	chrUn_NW_016787473v1
Scaffold100208	chrUn_NW_016787474v1
Scaffold100209	chrUn_NW_016787475v1
Scaffold10021	chrUn_NW_016704052v1
Scaffold100210	chrUn_NW_016787476v1
Scaffold100211	chrUn_NW_016787477v1
Scaffold100212	chrUn_NW_016787478v1
Scaffold100213	chrUn_NW_016787479v1
Scaffold100214	chrUn_NW_016787480v1
Scaffold100215	chrUn_NW_016787481v1
Scaffold100216	chrUn_NW_016787482v1
Scaffold100217	chrUn_NW_016787483v1
Scaffold100218	chrUn_NW_016787484v1
Scaffold100219	chrUn_NW_016787485v1
Scaffold10022	chrUn_NW_016704053v1
Scaffold100220	chrUn_NW_016787486v1
Scaffold100221	chrUn_NW_016787487v1
Scaffold100222	chrUn_NW_016787488v1
Scaffold100223	chrUn_NW_016787489v1
Scaffold100224	chrUn_NW_016787490v1
Scaffold100225	chrUn_NW_016787491v1
Scaffold100226	chrUn_NW_016787492v1
Scaffold100227	chrUn_NW_016787493v1
Scaffold100228	chrUn_NW_016787494v1
Scaffold100229	chrUn_NW_016787495v1
Scaffold10023	chrUn_NW_016704054v1
Scaffold100230	chrUn_NW_016787496v1
Scaffold100231	chrUn_NW_016787497v1
Scaffold100232	chrUn_NW_016787498v1
Scaffold100233	chrUn_NW_016787499v1
Scaffold100234	chrUn_NW_016787500v1
Scaffold100235	chrUn_NW_016787501v1
Scaffold100236	chrUn_NW_016787502v1
Scaffold100237	chrUn_NW_016787503v1
Scaffold100238	chrUn_NW_016787504v1
Scaffold100239	chrUn_NW_016787505v1
Scaffold10024	chrUn_NW_016704055v1
Scaffold100240	chrUn_NW_016787506v1
Scaffold100241	chrUn_NW_016787507v1
Scaffold100242	chrUn_NW_016787508v1
Scaffold100243	chrUn_NW_016787509v1
Scaffold100244	chrUn_NW_016787510v1
Scaffold100245	chrUn_NW_016787511v1
Scaffold100246	chrUn_NW_016787512v1
Scaffold100247	chrUn_NW_016787513v1
Scaffold100248	chrUn_NW_016787514v1
Scaffold100249	chrUn_NW_016787515v1
Scaffold10025	chrUn_NW_016704056v1
Scaffold100250	chrUn_NW_016787516v1
Scaffold100251	chrUn_NW_016787517v1
Scaffold100252	chrUn_NW_016787518v1
Scaffold100253	chrUn_NW_016787519v1
Scaffold100254	chrUn_NW_016787520v1
Scaffold100255	chrUn_NW_016787521v1
Scaffold100256	chrUn_NW_016787522v1
Scaffold100257	chrUn_NW_016787523v1
Scaffold100258	chrUn_NW_016787524v1
Scaffold100259	chrUn_NW_016787525v1
Scaffold10026	chrUn_NW_016704057v1
Scaffold100260	chrUn_NW_016787526v1
Scaffold100261	chrUn_NW_016787527v1
Scaffold100262	chrUn_NW_016787528v1
Scaffold100263	chrUn_NW_016787529v1
Scaffold100264	chrUn_NW_016787530v1
Scaffold100265	chrUn_NW_016787531v1
Scaffold100266	chrUn_NW_016787532v1
Scaffold100267	chrUn_NW_016787533v1
Scaffold100268	chrUn_NW_016787534v1
Scaffold100269	chrUn_NW_016787535v1
Scaffold10027	chrUn_NW_016704058v1
Scaffold100270	chrUn_NW_016787536v1
Scaffold100271	chrUn_NW_016787537v1
Scaffold100272	chrUn_NW_016787538v1
Scaffold100273	chrUn_NW_016787539v1
Scaffold100274	chrUn_NW_016787540v1
Scaffold100275	chrUn_NW_016787541v1
Scaffold100276	chrUn_NW_016787542v1
Scaffold100277	chrUn_NW_016787543v1
Scaffold100278	chrUn_NW_016787544v1
Scaffold10028	chrUn_NW_016704059v1
Scaffold100280	chrUn_NW_016787545v1
Scaffold100281	chrUn_NW_016787546v1
Scaffold100282	chrUn_NW_016787547v1
Scaffold100283	chrUn_NW_016787548v1
Scaffold100284	chrUn_NW_016787549v1
Scaffold100285	chrUn_NW_016787550v1
Scaffold100286	chrUn_NW_016787551v1
Scaffold100287	chrUn_NW_016787552v1
Scaffold100288	chrUn_NW_016787553v1
Scaffold100289	chrUn_NW_016787554v1
Scaffold10029	chrUn_NW_016704060v1
Scaffold100290	chrUn_NW_016787555v1
Scaffold100291	chrUn_NW_016787556v1
Scaffold100292	chrUn_NW_016787557v1
Scaffold100293	chrUn_NW_016787558v1
Scaffold100294	chrUn_NW_016787559v1
Scaffold100295	chrUn_NW_016787560v1
Scaffold100296	chrUn_NW_016787561v1
Scaffold100297	chrUn_NW_016787562v1
Scaffold100298	chrUn_NW_016787563v1
Scaffold100299	chrUn_NW_016787564v1
Scaffold10030	chrUn_NW_016704061v1
Scaffold100300	chrUn_NW_016787565v1
Scaffold100301	chrUn_NW_016787566v1
Scaffold100302	chrUn_NW_016787567v1
Scaffold100303	chrUn_NW_016787568v1
Scaffold100304	chrUn_NW_016787569v1
Scaffold100305	chrUn_NW_016787570v1
Scaffold100306	chrUn_NW_016787571v1
Scaffold100307	chrUn_NW_016787572v1
Scaffold100308	chrUn_NW_016787573v1
Scaffold100309	chrUn_NW_016787574v1
Scaffold10031	chrUn_NW_016704062v1
Scaffold100310	chrUn_NW_016787575v1
Scaffold100311	chrUn_NW_016787576v1
Scaffold100312	chrUn_NW_016787577v1
Scaffold100313	chrUn_NW_016787578v1
Scaffold100314	chrUn_NW_016787579v1
Scaffold100315	chrUn_NW_016787580v1
Scaffold100316	chrUn_NW_016787581v1
Scaffold100317	chrUn_NW_016787582v1
Scaffold100318	chrUn_NW_016787583v1
Scaffold100319	chrUn_NW_016787584v1
Scaffold10032	chrUn_NW_016704063v1
Scaffold100320	chrUn_NW_016787585v1
Scaffold100321	chrUn_NW_016787586v1
Scaffold100322	chrUn_NW_016787587v1
Scaffold100323	chrUn_NW_016787588v1
Scaffold100324	chrUn_NW_016787589v1
Scaffold100325	chrUn_NW_016787590v1
Scaffold100326	chrUn_NW_016787591v1
Scaffold100327	chrUn_NW_016787592v1
Scaffold100328	chrUn_NW_016787593v1
Scaffold100329	chrUn_NW_016787594v1
Scaffold10033	chrUn_NW_016704064v1
Scaffold100330	chrUn_NW_016787595v1
Scaffold100331	chrUn_NW_016787596v1
Scaffold100332	chrUn_NW_016787597v1
Scaffold100333	chrUn_NW_016787598v1
Scaffold100334	chrUn_NW_016787599v1
Scaffold100335	chrUn_NW_016787600v1
Scaffold100336	chrUn_NW_016787601v1
Scaffold100337	chrUn_NW_016787602v1
Scaffold100338	chrUn_NW_016787603v1
Scaffold100339	chrUn_NW_016787604v1
Scaffold10034	chrUn_NW_016704065v1
Scaffold100340	chrUn_NW_016787605v1
Scaffold100341	chrUn_NW_016787606v1
Scaffold100342	chrUn_NW_016787607v1
Scaffold100343	chrUn_NW_016787608v1
Scaffold100344	chrUn_NW_016787609v1
Scaffold100345	chrUn_NW_016787610v1
Scaffold100346	chrUn_NW_016787611v1
Scaffold100347	chrUn_NW_016787612v1
Scaffold100348	chrUn_NW_016787613v1
Scaffold100349	chrUn_NW_016787614v1
Scaffold10035	chrUn_NW_016704066v1
Scaffold100350	chrUn_NW_016787615v1
Scaffold100351	chrUn_NW_016787616v1
Scaffold100352	chrUn_NW_016787617v1
Scaffold100353	chrUn_NW_016787618v1
Scaffold100354	chrUn_NW_016787619v1
Scaffold100355	chrUn_NW_016787620v1
Scaffold100356	chrUn_NW_016787621v1
Scaffold100357	chrUn_NW_016787622v1
Scaffold100358	chrUn_NW_016787623v1
Scaffold100359	chrUn_NW_016787624v1
Scaffold10036	chrUn_NW_016704067v1
Scaffold100360	chrUn_NW_016787625v1
Scaffold100361	chrUn_NW_016787626v1
Scaffold100362	chrUn_NW_016787627v1
Scaffold100363	chrUn_NW_016787628v1
Scaffold100364	chrUn_NW_016787629v1
Scaffold100365	chrUn_NW_016787630v1
Scaffold100366	chrUn_NW_016787631v1
Scaffold100367	chrUn_NW_016787632v1
Scaffold100368	chrUn_NW_016787633v1
Scaffold100369	chrUn_NW_016787634v1
Scaffold10037	chrUn_NW_016704068v1
Scaffold100370	chrUn_NW_016787635v1
Scaffold100371	chrUn_NW_016787636v1
Scaffold100372	chrUn_NW_016787637v1
Scaffold100373	chrUn_NW_016787638v1
Scaffold100374	chrUn_NW_016787639v1
Scaffold100375	chrUn_NW_016787640v1
Scaffold100376	chrUn_NW_016787641v1
Scaffold100377	chrUn_NW_016787642v1
Scaffold100378	chrUn_NW_016787643v1
Scaffold100379	chrUn_NW_016787644v1
Scaffold10038	chrUn_NW_016704069v1
Scaffold100380	chrUn_NW_016787645v1
Scaffold100381	chrUn_NW_016787646v1
Scaffold100382	chrUn_NW_016787647v1
Scaffold100383	chrUn_NW_016787648v1
Scaffold100384	chrUn_NW_016787649v1
Scaffold100385	chrUn_NW_016787650v1
Scaffold100386	chrUn_NW_016787651v1
Scaffold100387	chrUn_NW_016787652v1
Scaffold100388	chrUn_NW_016787653v1
Scaffold100389	chrUn_NW_016787654v1
Scaffold10039	chrUn_NW_016704070v1
Scaffold100390	chrUn_NW_016787655v1
Scaffold100391	chrUn_NW_016787656v1
Scaffold100392	chrUn_NW_016787657v1
Scaffold100393	chrUn_NW_016787658v1
Scaffold100394	chrUn_NW_016787659v1
Scaffold100395	chrUn_NW_016787660v1
Scaffold100396	chrUn_NW_016787661v1
Scaffold100397	chrUn_NW_016787662v1
Scaffold100398	chrUn_NW_016787663v1
Scaffold100399	chrUn_NW_016787664v1
Scaffold1004	chrUn_NW_016695786v1
Scaffold10040	chrUn_NW_016704071v1
Scaffold100400	chrUn_NW_016787665v1
Scaffold100401	chrUn_NW_016787666v1
Scaffold100402	chrUn_NW_016787667v1
Scaffold100403	chrUn_NW_016787668v1
Scaffold100404	chrUn_NW_016787669v1
Scaffold100405	chrUn_NW_016787670v1
Scaffold100406	chrUn_NW_016787671v1
Scaffold100407	chrUn_NW_016787672v1
Scaffold100408	chrUn_NW_016787673v1
Scaffold100409	chrUn_NW_016787674v1
Scaffold10041	chrUn_NW_016704072v1
Scaffold100410	chrUn_NW_016787675v1
Scaffold100411	chrUn_NW_016787676v1
Scaffold100412	chrUn_NW_016787677v1
Scaffold100413	chrUn_NW_016787678v1
Scaffold100414	chrUn_NW_016787679v1
Scaffold100415	chrUn_NW_016787680v1
Scaffold100416	chrUn_NW_016787681v1
Scaffold100417	chrUn_NW_016787682v1
Scaffold100418	chrUn_NW_016787683v1
Scaffold100419	chrUn_NW_016787684v1
Scaffold10042	chrUn_NW_016704073v1
Scaffold100420	chrUn_NW_016787685v1
Scaffold100421	chrUn_NW_016787686v1
Scaffold100422	chrUn_NW_016787687v1
Scaffold100423	chrUn_NW_016787688v1
Scaffold100424	chrUn_NW_016787689v1
Scaffold100425	chrUn_NW_016787690v1
Scaffold100426	chrUn_NW_016787691v1
Scaffold100427	chrUn_NW_016787692v1
Scaffold100428	chrUn_NW_016787693v1
Scaffold100429	chrUn_NW_016787694v1
Scaffold10043	chrUn_NW_016704074v1
Scaffold100430	chrUn_NW_016787695v1
Scaffold100431	chrUn_NW_016787696v1
Scaffold100432	chrUn_NW_016787697v1
Scaffold100433	chrUn_NW_016787698v1
Scaffold100434	chrUn_NW_016787699v1
Scaffold100435	chrUn_NW_016787700v1
Scaffold100436	chrUn_NW_016787701v1
Scaffold100437	chrUn_NW_016787702v1
Scaffold100438	chrUn_NW_016787703v1
Scaffold100439	chrUn_NW_016787704v1
Scaffold10044	chrUn_NW_016704075v1
Scaffold100440	chrUn_NW_016787705v1
Scaffold100441	chrUn_NW_016787706v1
Scaffold100442	chrUn_NW_016787707v1
Scaffold100443	chrUn_NW_016787708v1
Scaffold100444	chrUn_NW_016787709v1
Scaffold100445	chrUn_NW_016787710v1
Scaffold100446	chrUn_NW_016787711v1
Scaffold100447	chrUn_NW_016787712v1
Scaffold100449	chrUn_NW_016787713v1
Scaffold10045	chrUn_NW_016704076v1
Scaffold100450	chrUn_NW_016787714v1
Scaffold100451	chrUn_NW_016787715v1
Scaffold100452	chrUn_NW_016787716v1
Scaffold100453	chrUn_NW_016787717v1
Scaffold100454	chrUn_NW_016787718v1
Scaffold100455	chrUn_NW_016787719v1
Scaffold100456	chrUn_NW_016787720v1
Scaffold100458	chrUn_NW_016787721v1
Scaffold100459	chrUn_NW_016787722v1
Scaffold10046	chrUn_NW_016704077v1
Scaffold100460	chrUn_NW_016787723v1
Scaffold100461	chrUn_NW_016787724v1
Scaffold100462	chrUn_NW_016787725v1
Scaffold100463	chrUn_NW_016787726v1
Scaffold100464	chrUn_NW_016787727v1
Scaffold100465	chrUn_NW_016787728v1
Scaffold100466	chrUn_NW_016787729v1
Scaffold100467	chrUn_NW_016787730v1
Scaffold100468	chrUn_NW_016787731v1
Scaffold100469	chrUn_NW_016787732v1
Scaffold10047	chrUn_NW_016704078v1
Scaffold100470	chrUn_NW_016787733v1
Scaffold100471	chrUn_NW_016787734v1
Scaffold100472	chrUn_NW_016787735v1
Scaffold100473	chrUn_NW_016787736v1
Scaffold100474	chrUn_NW_016787737v1
Scaffold100475	chrUn_NW_016787738v1
Scaffold100476	chrUn_NW_016787739v1
Scaffold100477	chrUn_NW_016787740v1
Scaffold100478	chrUn_NW_016787741v1
Scaffold100479	chrUn_NW_016787742v1
Scaffold100480	chrUn_NW_016787743v1
Scaffold100481	chrUn_NW_016787744v1
Scaffold100482	chrUn_NW_016787745v1
Scaffold100483	chrUn_NW_016787746v1
Scaffold100484	chrUn_NW_016787747v1
Scaffold100485	chrUn_NW_016787748v1
Scaffold100486	chrUn_NW_016787749v1
Scaffold100487	chrUn_NW_016787750v1
Scaffold100488	chrUn_NW_016787751v1
Scaffold100489	chrUn_NW_016787752v1
Scaffold10049	chrUn_NW_016704079v1
Scaffold100490	chrUn_NW_016787753v1
Scaffold100491	chrUn_NW_016787754v1
Scaffold100492	chrUn_NW_016787755v1
Scaffold100493	chrUn_NW_016787756v1
Scaffold100494	chrUn_NW_016787757v1
Scaffold100495	chrUn_NW_016787758v1
Scaffold100496	chrUn_NW_016787759v1
Scaffold100497	chrUn_NW_016787760v1
Scaffold100498	chrUn_NW_016787761v1
Scaffold100499	chrUn_NW_016787762v1
Scaffold1005	chrUn_NW_016695787v1
Scaffold10050	chrUn_NW_016704080v1
Scaffold100500	chrUn_NW_016787763v1
Scaffold100501	chrUn_NW_016787764v1
Scaffold100502	chrUn_NW_016787765v1
Scaffold100503	chrUn_NW_016787766v1
Scaffold100504	chrUn_NW_016787767v1
Scaffold100506	chrUn_NW_016787768v1
Scaffold100508	chrUn_NW_016787769v1
Scaffold100509	chrUn_NW_016787770v1
Scaffold10051	chrUn_NW_016704081v1
Scaffold100510	chrUn_NW_016787771v1
Scaffold100511	chrUn_NW_016787772v1
Scaffold100512	chrUn_NW_016787773v1
Scaffold100513	chrUn_NW_016787774v1
Scaffold100514	chrUn_NW_016787775v1
Scaffold100515	chrUn_NW_016787776v1
Scaffold100516	chrUn_NW_016787777v1
Scaffold100517	chrUn_NW_016787778v1
Scaffold100518	chrUn_NW_016787779v1
Scaffold100519	chrUn_NW_016787780v1
Scaffold10052	chrUn_NW_016704082v1
Scaffold100520	chrUn_NW_016787781v1
Scaffold100521	chrUn_NW_016787782v1
Scaffold100522	chrUn_NW_016787783v1
Scaffold100523	chrUn_NW_016787784v1
Scaffold100524	chrUn_NW_016787785v1
Scaffold100525	chrUn_NW_016787786v1
Scaffold100526	chrUn_NW_016787787v1
Scaffold100527	chrUn_NW_016787788v1
Scaffold100528	chrUn_NW_016787789v1
Scaffold100529	chrUn_NW_016787790v1
Scaffold10053	chrUn_NW_016704083v1
Scaffold100530	chrUn_NW_016787791v1
Scaffold100531	chrUn_NW_016787792v1
Scaffold100532	chrUn_NW_016787793v1
Scaffold100533	chrUn_NW_016787794v1
Scaffold100534	chrUn_NW_016787795v1
Scaffold100535	chrUn_NW_016787796v1
Scaffold100536	chrUn_NW_016787797v1
Scaffold100537	chrUn_NW_016787798v1
Scaffold100538	chrUn_NW_016787799v1
Scaffold100539	chrUn_NW_016787800v1
Scaffold10054	chrUn_NW_016704084v1
Scaffold100540	chrUn_NW_016787801v1
Scaffold100541	chrUn_NW_016787802v1
Scaffold100542	chrUn_NW_016787803v1
Scaffold100543	chrUn_NW_016787804v1
Scaffold100544	chrUn_NW_016787805v1
Scaffold100545	chrUn_NW_016787806v1
Scaffold100546	chrUn_NW_016787807v1
Scaffold100547	chrUn_NW_016787808v1
Scaffold100548	chrUn_NW_016787809v1
Scaffold100549	chrUn_NW_016787810v1
Scaffold10055	chrUn_NW_016704085v1
Scaffold100550	chrUn_NW_016787811v1
Scaffold100551	chrUn_NW_016787812v1
Scaffold100552	chrUn_NW_016787813v1
Scaffold100553	chrUn_NW_016787814v1
Scaffold100554	chrUn_NW_016787815v1
Scaffold100555	chrUn_NW_016787816v1
Scaffold100556	chrUn_NW_016787817v1
Scaffold100557	chrUn_NW_016787818v1
Scaffold100559	chrUn_NW_016787819v1
Scaffold10056	chrUn_NW_016704086v1
Scaffold100560	chrUn_NW_016787820v1
Scaffold100561	chrUn_NW_016787821v1
Scaffold100562	chrUn_NW_016787822v1
Scaffold100563	chrUn_NW_016787823v1
Scaffold100564	chrUn_NW_016787824v1
Scaffold100565	chrUn_NW_016787825v1
Scaffold100566	chrUn_NW_016787826v1
Scaffold100567	chrUn_NW_016787827v1
Scaffold100568	chrUn_NW_016787828v1
Scaffold100569	chrUn_NW_016787829v1
Scaffold10057	chrUn_NW_016704087v1
Scaffold100570	chrUn_NW_016787830v1
Scaffold100571	chrUn_NW_016787831v1
Scaffold100572	chrUn_NW_016787832v1
