NC_000001.11	chr1
NT_187430.1	chrUn_KI270508v1
NT_187428.1	chrUn_KI270509v1
NT_187427.1	chrUn_KI270510v1
NT_187435.1	chrUn_KI270511v1
NT_187432.1	chrUn_KI270512v1
NT_187436.1	chrUn_KI270515v1
NT_187431.1	chrUn_KI270516v1
NT_187438.1	chrUn_KI270517v1
NT_187429.1	chrUn_KI270518v1
NT_187433.1	chrUn_KI270519v1
NT_187496.1	chrUn_KI270521v1
NT_187434.1	chrUn_KI270522v1
NT_187440.1	chrUn_KI270528v1
NT_187439.1	chrUn_KI270529v1
NT_187441.1	chrUn_KI270530v1
NT_187443.1	chrUn_KI270538v1
NT_187442.1	chrUn_KI270539v1
NT_187444.1	chrUn_KI270544v1
NT_187445.1	chrUn_KI270548v1
NT_187450.1	chrUn_KI270579v1
NT_187448.1	chrUn_KI270580v1
NT_187449.1	chrUn_KI270581v1
NT_187454.1	chrUn_KI270582v1
NT_187446.1	chrUn_KI270583v1
NT_187453.1	chrUn_KI270584v1
NT_187447.1	chrUn_KI270587v1
NT_187455.1	chrUn_KI270588v1
NT_187451.1	chrUn_KI270589v1
NT_187452.1	chrUn_KI270590v1
NT_187457.1	chrUn_KI270591v1
NT_187456.1	chrUn_KI270593v1
NT_187497.1	chrUn_KI270741v1
NT_187513.1	chrUn_KI270742v1
NT_187498.1	chrUn_KI270743v1
NT_187499.1	chrUn_KI270744v1
NT_187500.1	chrUn_KI270745v1
NT_187501.1	chrUn_KI270746v1
NT_187502.1	chrUn_KI270747v1
NT_187503.1	chrUn_KI270748v1
NT_187504.1	chrUn_KI270749v1
NT_187505.1	chrUn_KI270750v1
NT_187506.1	chrUn_KI270751v1
NT_187507.1	chrUn_KI270752v1
NT_187508.1	chrUn_KI270753v1
NT_187509.1	chrUn_KI270754v1
NT_187510.1	chrUn_KI270755v1
NT_187511.1	chrUn_KI270756v1
NT_187512.1	chrUn_KI270757v1
NW_003315905.1	chr1_GL383518v1_alt
NW_003315906.1	chr1_GL383519v1_alt
NW_003315907.2	chr1_GL383520v2_alt
NT_187516.1	chr1_KI270759v1_alt
NT_187514.1	chr1_KI270760v1_alt
NT_187518.1	chr1_KI270761v1_alt
NT_187515.1	chr1_KI270762v1_alt
NT_187519.1	chr1_KI270763v1_alt
NT_187521.1	chr1_KI270764v1_alt
NT_187520.1	chr1_KI270765v1_alt
NT_187517.1	chr1_KI270766v1_alt
NW_003315908.1	chr2_GL383521v1_alt
NW_003315909.1	chr2_GL383522v1_alt
NW_003571033.2	chr2_GL582966v2_alt
NT_187523.1	chr2_KI270767v1_alt
NT_187528.1	chr2_KI270768v1_alt
NT_187522.1	chr2_KI270769v1_alt
NT_187525.1	chr2_KI270770v1_alt
NT_187530.1	chr2_KI270771v1_alt
NT_187524.1	chr2_KI270772v1_alt
NT_187526.1	chr2_KI270773v1_alt
NT_187529.1	chr2_KI270774v1_alt
NT_187531.1	chr2_KI270775v1_alt
NT_187527.1	chr2_KI270776v1_alt
NW_003315913.1	chr3_GL383526v1_alt
NW_003871060.2	chr3_JH636055v2_alt
NT_187533.1	chr3_KI270777v1_alt
NT_187536.1	chr3_KI270778v1_alt
NT_187532.1	chr3_KI270779v1_alt
NT_187537.1	chr3_KI270780v1_alt
NT_187538.1	chr3_KI270781v1_alt
NT_187534.1	chr3_KI270782v1_alt
NT_187535.1	chr3_KI270783v1_alt
NT_187539.1	chr3_KI270784v1_alt
NT_167250.2	chr4_GL000257v2_alt
NW_003315914.1	chr4_GL383527v1_alt
NW_003315915.1	chr4_GL383528v1_alt
NT_187542.1	chr4_KI270785v1_alt
NT_187543.1	chr4_KI270786v1_alt
NT_187541.1	chr4_KI270787v1_alt
NT_187544.1	chr4_KI270788v1_alt
NT_187545.1	chr4_KI270789v1_alt
NT_187540.1	chr4_KI270790v1_alt
NW_003315917.2	chr5_GL339449v2_alt
NW_003315918.1	chr5_GL383530v1_alt
NW_003315919.1	chr5_GL383531v1_alt
NW_003315920.1	chr5_GL383532v1_alt
NW_003571036.1	chr5_GL949742v1_alt
NT_187547.1	chr5_KI270791v1_alt
NT_187548.1	chr5_KI270792v1_alt
NT_187550.1	chr5_KI270793v1_alt
NT_187551.1	chr5_KI270794v1_alt
NT_187546.1	chr5_KI270795v1_alt
NT_187549.1	chr5_KI270796v1_alt
NT_167244.2	chr6_GL000250v2_alt
NW_003315921.1	chr6_GL383533v1_alt
NW_004166862.2	chr6_KB021644v2_alt
NT_187552.1	chr6_KI270797v1_alt
NT_187553.1	chr6_KI270798v1_alt
NT_187554.1	chr6_KI270799v1_alt
NT_187555.1	chr6_KI270800v1_alt
NT_187556.1	chr6_KI270801v1_alt
NT_187557.1	chr6_KI270802v1_alt
NW_003315922.2	chr7_GL383534v2_alt
NT_187562.1	chr7_KI270803v1_alt
NT_187558.1	chr7_KI270804v1_alt
NT_187560.1	chr7_KI270805v1_alt
NT_187559.1	chr7_KI270806v1_alt
NT_187563.1	chr7_KI270807v1_alt
NT_187564.1	chr7_KI270808v1_alt
NT_187561.1	chr7_KI270809v1_alt
NT_187567.1	chr8_KI270810v1_alt
NT_187565.1	chr8_KI270811v1_alt
NT_187568.1	chr8_KI270812v1_alt
NT_187570.1	chr8_KI270813v1_alt
NT_187566.1	chr8_KI270814v1_alt
NT_187569.1	chr8_KI270815v1_alt
NT_187571.1	chr8_KI270816v1_alt
NT_187573.1	chr8_KI270817v1_alt
NT_187572.1	chr8_KI270818v1_alt
NT_187574.1	chr8_KI270819v1_alt
NT_187575.1	chr8_KI270820v1_alt
NT_187576.1	chr8_KI270821v1_alt
NT_187577.1	chr8_KI270822v1_alt
NW_003315928.1	chr9_GL383539v1_alt
NW_003315929.1	chr9_GL383540v1_alt
NW_003315930.1	chr9_GL383541v1_alt
NW_003315931.1	chr9_GL383542v1_alt
NT_187578.1	chr9_KI270823v1_alt
NW_003315934.1	chr10_GL383545v1_alt
NW_003315935.1	chr10_GL383546v1_alt
NT_187579.1	chr10_KI270824v1_alt
NT_187580.1	chr10_KI270825v1_alt
NW_003315936.1	chr11_GL383547v1_alt
NW_003871073.1	chr11_JH159136v1_alt
NW_003871074.1	chr11_JH159137v1_alt
NT_187581.1	chr11_KI270826v1_alt
NT_187582.1	chr11_KI270827v1_alt
NT_187583.1	chr11_KI270829v1_alt
NT_187584.1	chr11_KI270830v1_alt
NT_187585.1	chr11_KI270831v1_alt
NT_187586.1	chr11_KI270832v1_alt
NW_003315938.1	chr12_GL383549v1_alt
NW_003315939.2	chr12_GL383550v2_alt
NW_003315940.1	chr12_GL383551v1_alt
NW_003315941.1	chr12_GL383552v1_alt
NW_003315942.2	chr12_GL383553v2_alt
NW_003571049.1	chr12_GL877875v1_alt
NW_003571050.1	chr12_GL877876v1_alt
NT_187589.1	chr12_KI270833v1_alt
NT_187590.1	chr12_KI270834v1_alt
NT_187587.1	chr12_KI270835v1_alt
NT_187591.1	chr12_KI270836v1_alt
NT_187588.1	chr12_KI270837v1_alt
NT_187592.1	chr13_KI270838v1_alt
NT_187593.1	chr13_KI270839v1_alt
NT_187594.1	chr13_KI270840v1_alt
NT_187595.1	chr13_KI270841v1_alt
NT_187596.1	chr13_KI270842v1_alt
NT_187597.1	chr13_KI270843v1_alt
NT_187598.1	chr14_KI270844v1_alt
NT_187599.1	chr14_KI270845v1_alt
NT_187600.1	chr14_KI270846v1_alt
NT_187601.1	chr14_KI270847v1_alt
NW_003315943.1	chr15_GL383554v1_alt
NW_003315944.2	chr15_GL383555v2_alt
NT_187603.1	chr15_KI270848v1_alt
NT_187605.1	chr15_KI270849v1_alt
NT_187606.1	chr15_KI270850v1_alt
NT_187604.1	chr15_KI270851v1_alt
NT_187602.1	chr15_KI270852v1_alt
NW_003315945.1	chr16_GL383556v1_alt
NW_003315946.1	chr16_GL383557v1_alt
NT_187607.1	chr16_KI270853v1_alt
NT_187610.1	chr16_KI270854v1_alt
NT_187608.1	chr16_KI270855v1_alt
NT_187609.1	chr16_KI270856v1_alt
NT_167251.2	chr17_GL000258v2_alt
NW_003315952.3	chr17_GL383563v3_alt
NW_003315953.2	chr17_GL383564v2_alt
NW_003315954.1	chr17_GL383565v1_alt
NW_003315955.1	chr17_GL383566v1_alt
NW_003871091.1	chr17_JH159146v1_alt
NW_003871092.1	chr17_JH159147v1_alt
NT_187614.1	chr17_KI270857v1_alt
NT_187615.1	chr17_KI270858v1_alt
NT_187616.1	chr17_KI270859v1_alt
NT_187612.1	chr17_KI270860v1_alt
NT_187611.1	chr17_KI270861v1_alt
NT_187613.1	chr17_KI270862v1_alt
NW_003315956.1	chr18_GL383567v1_alt
NW_003315957.1	chr18_GL383568v1_alt
NW_003315958.1	chr18_GL383569v1_alt
NW_003315959.1	chr18_GL383570v1_alt
NW_003315960.1	chr18_GL383571v1_alt
NW_003315961.1	chr18_GL383572v1_alt
NT_187617.1	chr18_KI270863v1_alt
NT_187618.1	chr18_KI270864v1_alt
NW_003315962.1	chr19_GL383573v1_alt
NW_003315963.1	chr19_GL383574v1_alt
NW_003315964.2	chr19_GL383575v2_alt
NW_003315965.1	chr19_GL383576v1_alt
NW_003571054.1	chr19_GL949746v1_alt
NT_187621.1	chr19_KI270865v1_alt
NT_187619.1	chr19_KI270866v1_alt
NT_187620.1	chr19_KI270867v1_alt
NT_187622.1	chr19_KI270868v1_alt
NW_003315966.2	chr20_GL383577v2_alt
NT_187623.1	chr20_KI270869v1_alt
NT_187624.1	chr20_KI270870v1_alt
NT_187625.1	chr20_KI270871v1_alt
NW_003315967.2	chr21_GL383578v2_alt
NW_003315968.2	chr21_GL383579v2_alt
NW_003315969.2	chr21_GL383580v2_alt
NW_003315970.2	chr21_GL383581v2_alt
NT_187626.1	chr21_KI270872v1_alt
NT_187627.1	chr21_KI270873v1_alt
NT_187628.1	chr21_KI270874v1_alt
NW_003315971.2	chr22_GL383582v2_alt
NW_003315972.2	chr22_GL383583v2_alt
NT_187629.1	chr22_KI270875v1_alt
NT_187630.1	chr22_KI270876v1_alt
NT_187631.1	chr22_KI270877v1_alt
NT_187632.1	chr22_KI270878v1_alt
NT_187633.1	chr22_KI270879v1_alt
NT_187634.1	chrX_KI270880v1_alt
NT_187635.1	chrX_KI270881v1_alt
NT_187646.1	chr1_KI270892v1_alt
NT_187647.1	chr2_KI270893v1_alt
NT_187648.1	chr2_KI270894v1_alt
NT_187649.1	chr3_KI270895v1_alt
NT_187650.1	chr4_KI270896v1_alt
NT_187651.1	chr5_KI270897v1_alt
NT_187652.1	chr5_KI270898v1_alt
NT_113891.3	chr6_GL000251v2_alt
NT_187653.1	chr7_KI270899v1_alt
NT_187654.1	chr8_KI270900v1_alt
NT_187655.1	chr8_KI270901v1_alt
NT_187656.1	chr11_KI270902v1_alt
NT_187657.1	chr11_KI270903v1_alt
NT_187658.1	chr12_KI270904v1_alt
NT_187660.1	chr15_KI270905v1_alt
NT_187659.1	chr15_KI270906v1_alt
NW_003871093.1	chr17_JH159148v1_alt
NT_187662.1	chr17_KI270907v1_alt
NT_187663.1	chr17_KI270908v1_alt
NT_187661.1	chr17_KI270909v1_alt
NT_187664.1	chr17_KI270910v1_alt
NT_187666.1	chr18_KI270911v1_alt
NT_187665.1	chr18_KI270912v1_alt
NW_003571055.2	chr19_GL949747v2_alt
NW_004504305.1	chr22_KB663609v1_alt
NT_187667.1	chrX_KI270913v1_alt
NT_187678.1	chr3_KI270924v1_alt
NT_187679.1	chr4_KI270925v1_alt
NT_167245.2	chr6_GL000252v2_alt
NT_187680.1	chr8_KI270926v1_alt
NT_187681.1	chr11_KI270927v1_alt
NW_003571056.2	chr19_GL949748v2_alt
NT_187682.1	chr22_KI270928v1_alt
NT_187688.1	chr3_KI270934v1_alt
NT_167246.2	chr6_GL000253v2_alt
NW_003571057.2	chr19_GL949749v2_alt
NT_187689.1	chr3_KI270935v1_alt
NT_167247.2	chr6_GL000254v2_alt
NW_003571058.2	chr19_GL949750v2_alt
NT_187690.1	chr3_KI270936v1_alt
NT_167248.2	chr6_GL000255v2_alt
NW_003571059.2	chr19_GL949751v2_alt
NT_187691.1	chr3_KI270937v1_alt
NT_167249.2	chr6_GL000256v2_alt
NW_003571060.1	chr19_GL949752v1_alt
NT_187692.1	chr6_KI270758v1_alt
NW_003571061.2	chr19_GL949753v2_alt
NT_187693.1	chr19_KI270938v1_alt
NT_187636.1	chr19_KI270882v1_alt
NT_187637.1	chr19_KI270883v1_alt
NT_187638.1	chr19_KI270884v1_alt
NT_187639.1	chr19_KI270885v1_alt
NT_187640.1	chr19_KI270886v1_alt
NT_187641.1	chr19_KI270887v1_alt
NT_187642.1	chr19_KI270888v1_alt
NT_187643.1	chr19_KI270889v1_alt
NT_187644.1	chr19_KI270890v1_alt
NT_187645.1	chr19_KI270891v1_alt
NT_187668.1	chr19_KI270914v1_alt
NT_187669.1	chr19_KI270915v1_alt
NT_187670.1	chr19_KI270916v1_alt
NT_187671.1	chr19_KI270917v1_alt
NT_187672.1	chr19_KI270918v1_alt
NT_187673.1	chr19_KI270919v1_alt
NT_187674.1	chr19_KI270920v1_alt
NT_187675.1	chr19_KI270921v1_alt
NT_187676.1	chr19_KI270922v1_alt
NT_187677.1	chr19_KI270923v1_alt
NT_187683.1	chr19_KI270929v1_alt
NT_187684.1	chr19_KI270930v1_alt
NT_187685.1	chr19_KI270931v1_alt
NT_187686.1	chr19_KI270932v1_alt
NT_187687.1	chr19_KI270933v1_alt
NT_113949.2	chr19_GL000209v2_alt
NC_012920.1	chrM
