X	chrX
211000022278608	chrX_DS484393v1_random
211000022278628	chrX_DS484397v1_random
211000022278359	chrX_DS484399v1_random
211000022278555	chrX_DS484401v1_random
211000022278467	chrX_DS484402v1_random
211000022278775	chrX_DS484406v1_random
211000022278853	chrX_DS484409v1_random
211000022278616	chrX_DS484411v1_random
211000022278825	chrX_DS484415v1_random
211000022279834	chrX_DS484417v1_random
211000022279084	chrX_DS484419v1_random
211000022279307	chrX_DS484423v1_random
211000022278353	chrX_DS484428v1_random
211000022278320	chrX_DS484429v1_random
211000022278343	chrX_DS484430v1_random
211000022278490	chrX_DS484431v1_random
211000022279305	chrX_DS484433v1_random
211000022278840	chrX_DS484442v1_random
211000022279063	chrX_DS484444v1_random
211000022278431	chrX_DS484447v1_random
211000022278464	chrX_DS484450v1_random
211000022278845	chrX_DS484457v1_random
211000022278226	chrX_DS484459v1_random
211000022279601	chrX_DS484462v1_random
211000022279715	chrX_DS484468v1_random
211000022279332	chrX_DS484474v1_random
211000022278695	chrX_DS484477v1_random
211000022278817	chrX_DS484483v1_random
211000022280594	chrX_DS484488v1_random
211000022278482	chrX_DS484497v1_random
211000022278820	chrX_DS484500v1_random
211000022278619	chrX_DS484504v1_random
211000022278976	chrX_DS484506v1_random
211000022278233	chrX_DS484507v1_random
211000022278317	chrX_DS484512v1_random
211000022278321	chrX_DS484518v1_random
211000022278879	chrX_DS484519v1_random
211000022278229	chrX_DS484526v1_random
211000022278319	chrX_DS484529v1_random
211000022278460	chrX_DS484533v1_random
211000022279075	chrX_DS484535v1_random
211000022280612	chrX_DS484538v1_random
211000022278643	chrX_DS484540v1_random
211000022279245	chrX_DS484541v1_random
211000022278627	chrX_DS484545v1_random
211000022278480	chrX_DS484547v1_random
211000022278365	chrX_DS484552v1_random
211000022278812	chrX_DS484555v1_random
211000022280622	chrX_DS484556v1_random
211000022278468	chrX_DS484558v1_random
211000022279072	chrX_DS484560v1_random
211000022280657	chrX_DS484562v1_random
211000022280628	chrX_DS484563v1_random
211000022278462	chrX_DS484564v1_random
211000022278346	chrX_DS484568v1_random
211000022278815	chrX_DS484569v1_random
211000022278826	chrX_DS484570v1_random
211000022278694	chrX_DS484572v1_random
211000022278411	chrX_DS484576v1_random
211000022279303	chrX_DS484580v1_random
211000022278318	chrX_DS484582v1_random
211000022278352	chrX_DS484583v1_random
211000022278277	chrX_DS484585v1_random
211000022280585	chrX_DS484586v1_random
211000022278636	chrX_DS484587v1_random
211000022278854	chrX_DS484590v1_random
211000022278325	chrX_DS484594v1_random
211000022278481	chrX_DS484596v1_random
211000022278911	chrX_DS484597v1_random
211000022278774	chrX_DS484598v1_random
211000022279080	chrX_DS484599v1_random
211000022278502	chrX_DS484600v1_random
211000022279301	chrX_DS484603v1_random
211000022278614	chrX_DS484604v1_random
211000022278905	chrX_DS484605v1_random
211000022278475	chrX_DS484608v1_random
211000022278625	chrX_DS484609v1_random
211000022278465	chrX_DS484610v1_random
211000022278876	chrX_DS484611v1_random
211000022280060	chrX_DS484615v1_random
211000022279078	chrX_DS484618v1_random
211000022279846	chrX_DS484620v1_random
211000022278228	chrX_DS484622v1_random
211000022279093	chrX_DS484623v1_random
211000022278633	chrX_DS484625v1_random
211000022278634	chrX_DS484626v1_random
211000022278613	chrX_DS484628v1_random
211000022278819	chrX_DS484633v1_random
211000022279322	chrX_DS484636v1_random
211000022278842	chrX_DS484644v1_random
211000022279296	chrX_DS484645v1_random
211000022278473	chrX_DS484647v1_random
211000022278816	chrX_DS484648v1_random
211000022278314	chrX_DS484650v1_random
211000022278907	chrX_DS484657v1_random
211000022278677	chrX_DS484660v1_random
211000022278165	chrX_DS484664v1_random
211000022280243	chrX_DS484666v1_random
211000022278125	chrX_DS484668v1_random
211000022279297	chrX_DS484669v1_random
211000022278621	chrX_DS484670v1_random
211000022278491	chrX_DS484672v1_random
211000022279065	chrX_DS484677v1_random
211000022278471	chrX_DS484679v1_random
211000022279077	chrX_DS484682v1_random
211000022278938	chrX_DS484683v1_random
211000022278469	chrX_DS484684v1_random
211000022278484	chrX_DS484688v1_random
211000022278726	chrX_DS484690v1_random
211000022278472	chrX_DS484691v1_random
211000022279064	chrX_DS484694v1_random
211000022278620	chrX_DS484695v1_random
211000022280061	chrX_DS484697v1_random
211000022278839	chrX_DS484698v1_random
211000022278099	chrX_DS484701v1_random
211000022279316	chrX_DS484702v1_random
211000022278670	chrX_DS484703v1_random
211000022279542	chrX_DS484715v1_random
211000022279957	chrX_DS484719v1_random
211000022278584	chrX_DS484723v1_random
211000022278323	chrX_DS484724v1_random
211000022279076	chrX_DS484725v1_random
211000022278315	chrX_DS484730v1_random
211000022278857	chrX_DS484731v1_random
211000022280029	chrX_DS484732v1_random
211000022279244	chrX_DS484733v1_random
211000022278655	chrX_DS484737v1_random
211000022278671	chrX_DS484740v1_random
211000022278850	chrX_DS484741v1_random
211000022278232	chrX_DS484745v1_random
211000022279686	chrX_DS484749v1_random
211000022279295	chrX_DS484753v1_random
211000022278692	chrX_DS484758v1_random
211000022278693	chrX_DS484763v1_random
211000022278227	chrX_DS484765v1_random
211000022279515	chrX_DS484767v1_random
211000022278861	chrX_DS484768v1_random
211000022279074	chrX_DS484775v1_random
211000022279066	chrX_DS484777v1_random
211000022278829	chrX_DS484778v1_random
211000022278827	chrX_DS484783v1_random
211000022278512	chrX_DS484785v1_random
211000022278851	chrX_DS484786v1_random
211000022278414	chrX_DS484803v1_random
211000022278252	chrX_DS484809v1_random
211000022278690	chrX_DS484810v1_random
211000022278618	chrX_DS484811v1_random
211000022278340	chrX_DS484819v1_random
211000022279437	chrX_DS484826v1_random
211000022279112	chrX_DS484832v1_random
211000022278322	chrX_DS484833v1_random
211000022278838	chrX_DS484837v1_random
211000022279068	chrX_DS484839v1_random
211000022278837	chrX_DS484840v1_random
211000022278342	chrX_DS484845v1_random
211000022278646	chrX_DS484850v1_random
211000022279888	chrX_DS484857v1_random
211000022278822	chrX_DS484871v1_random
211000022278644	chrX_DS484879v1_random
211000022278836	chrX_DS484880v1_random
211000022278855	chrX_DS484890v1_random
211000022280022	chrX_DS484907v1_random
211000022278609	chrX_DS484911v1_random
211000022278476	chrX_DS484913v1_random
211000022279073	chrX_DS484928v1_random
211000022278832	chrX_DS484935v1_random
211000022278470	chrX_DS484951v1_random
211000022279079	chrX_DS484952v1_random
211000022280034	chrX_DS484953v1_random
211000022278830	chrX_DS484955v1_random
211000022278492	chrX_DS484961v1_random
211000022279674	chrX_DS484963v1_random
211000022278268	chrX_DS484965v1_random
211000022278122	chrX_DS484968v1_random
211000022279944	chrX_DS484970v1_random
211000022279388	chrX_DS484974v1_random
211000022279767	chrX_DS484978v1_random
211000022279984	chrX_DS484990v1_random
211000022278607	chrX_DS484995v1_random
211000022278487	chrX_DS484996v1_random
211000022280007	chrX_DS484997v1_random
211000022279328	chrX_DS485012v1_random
211000022278324	chrX_DS485015v1_random
211000022279998	chrX_DS485017v1_random
211000022278856	chrX_DS485043v1_random
211000022279978	chrX_DS485044v1_random
211000022279764	chrX_DS485049v1_random
211000022279045	chrX_DS485050v1_random
211000022279721	chrX_DS485054v1_random
211000022279528	chrX_DS485072v1_random
211000022278382	chrX_DS485074v1_random
211000022278187	chrX_DS485077v1_random
211000022279610	chrX_DS485078v1_random
211000022279071	chrX_DS485080v1_random
211000022278691	chrX_DS485081v1_random
211000022278843	chrX_DS485084v1_random
211000022278478	chrX_DS485096v1_random
211000022278631	chrX_DS485101v1_random
211000022278505	chrX_DS485104v1_random
211000022278814	chrX_DS485109v1_random
211000022278640	chrX_DS485110v1_random
211000022278882	chrX_DS485111v1_random
211000022278971	chrX_DS485112v1_random
211000022279570	chrX_DS485119v1_random
211000022278654	chrX_DS485126v1_random
211000022278632	chrX_DS485141v1_random
211000022278624	chrX_DS485164v1_random
211000022278637	chrX_DS485167v1_random
211000022278297	chrX_DS485172v1_random
211000022279860	chrX_DS485186v1_random
211000022279300	chrX_DS485189v1_random
211000022279302	chrX_DS485195v1_random
211000022279862	chrX_DS485201v1_random
211000022279531	chrX_DS485225v1_random
211000022278231	chrX_DS485235v1_random
211000022278466	chrX_DS485238v1_random
211000022278479	chrX_DS485257v1_random
211000022278925	chrX_DS485262v1_random
211000022278355	chrX_DS485266v1_random
211000022279536	chrX_DS485268v1_random
211000022279290	chrX_DS485271v1_random
211000022278910	chrX_DS485277v1_random
211000022279339	chrX_DS485278v1_random
211000022279830	chrX_DS485281v1_random
211000022280077	chrX_DS485287v1_random
211000022279505	chrX_DS485299v1_random
211000022279012	chrX_DS485300v1_random
211000022279501	chrX_DS485303v1_random
211000022278610	chrX_DS485305v1_random
211000022279803	chrX_DS485310v1_random
211000022278950	chrX_DS485334v1_random
211000022279006	chrX_DS485336v1_random
211000022279833	chrX_DS485345v1_random
211000022279304	chrX_DS485351v1_random
211000022278477	chrX_DS485358v1_random
211000022279857	chrX_DS485360v1_random
211000022279773	chrX_DS485364v1_random
211000022278892	chrX_DS485378v1_random
211000022279881	chrX_DS485384v1_random
211000022279690	chrX_DS485418v1_random
211000022279543	chrX_DS485454v1_random
211000022280017	chrX_DS485459v1_random
211000022278516	chrX_DS485465v1_random
211000022278906	chrX_DS485471v1_random
211000022278485	chrX_DS485476v1_random
211000022278933	chrX_DS485478v1_random
211000022278360	chrX_DS485514v1_random
211000022279108	chrX_DS485537v1_random
211000022280023	chrX_DS485549v1_random
211000022280173	chrX_DS485550v1_random
211000022279859	chrX_DS485562v1_random
211000022278725	chrX_DS485573v1_random
211000022279604	chrX_DS485592v1_random
211000022279832	chrX_DS485597v1_random
211000022278880	chrX_DS485599v1_random
211000022279227	chrX_DS485603v1_random
211000022278326	chrX_DS485606v1_random
211000022279067	chrX_DS485617v1_random
211000022278236	chrX_DS485618v1_random
211000022278833	chrX_DS485620v1_random
211000022278909	chrX_DS485635v1_random
211000022279605	chrX_DS485647v1_random
211000022278486	chrX_DS485649v1_random
211000022280019	chrX_DS485651v1_random
211000022278623	chrX_DS485660v1_random
211000022279467	chrX_DS485672v1_random
211000022278524	chrX_DS485676v1_random
211000022278813	chrX_DS485687v1_random
211000022278704	chrX_DS485691v1_random
211000022279882	chrX_DS485707v1_random
211000022278635	chrX_DS485723v1_random
211000022278534	chrX_DS485735v1_random
211000022279306	chrX_DS485738v1_random
211000022278852	chrX_DS485745v1_random
211000022280125	chrX_DS485756v1_random
211000022279327	chrX_DS485762v1_random
211000022278417	chrX_DS485765v1_random
211000022278459	chrX_DS485769v1_random
211000022278841	chrX_DS485771v1_random
211000022279861	chrX_DS485778v1_random
211000022278835	chrX_DS485782v1_random
211000022278647	chrX_DS485785v1_random
211000022279291	chrX_DS485790v1_random
211000022278237	chrX_DS485797v1_random
211000022279086	chrX_DS485798v1_random
211000022278705	chrX_DS485801v1_random
211000022278504	chrX_DS485813v1_random
211000022279438	chrX_DS485816v1_random
211000022279083	chrX_DS485836v1_random
211000022278715	chrX_DS485845v1_random
211000022278824	chrX_DS485852v1_random
211000022278617	chrX_DS485855v1_random
211000022278818	chrX_DS485856v1_random
211000022279518	chrX_DS485857v1_random
211000022278596	chrX_DS485860v1_random
211000022279315	chrX_DS485879v1_random
211000022278834	chrX_DS485898v1_random
211000022279111	chrX_DS485899v1_random
211000022278669	chrX_DS485909v1_random
211000022278474	chrX_DS485913v1_random
211000022278638	chrX_DS485934v1_random
211000022278626	chrX_DS485941v1_random
211000022278350	chrX_DS485942v1_random
211000022279113	chrX_DS485950v1_random
211000022279010	chrX_DS485959v1_random
211000022278458	chrX_DS485962v1_random
211000022278483	chrX_DS485967v1_random
211000022279720	chrX_DS485978v1_random
211000022278488	chrX_DS485981v1_random
211000022278811	chrX_DS485987v1_random
211000022278230	chrX_DS485994v1_random
Y_mapped_Scaffold_5_D1748_D1610	chrY_CP007107v1_random
Y_mapped_Scaffold_9_D1573	chrY_CP007108v1_random
Y_mapped_Scaffold_12_D1771	chrY_CP007109v1_random
Y_mapped_Scaffold_15_D1727	chrY_CP007110v1_random
Y_mapped_Scaffold_18_D1698	chrY_CP007111v1_random
Y_mapped_Scaffold_20_D1762_D1719	chrY_CP007112v1_random
Y_mapped_Scaffold_21_D1683_D1693	chrY_CP007113v1_random
Y_mapped_Scaffold_23_D1638	chrY_CP007114v1_random
Y_mapped_Scaffold_26_D1717	chrY_CP007115v1_random
Y_mapped_Scaffold_30_D1720	chrY_CP007116v1_random
Y_mapped_Scaffold_34_D1584	chrY_CP007117v1_random
Y_mapped_Scaffold_53_D1765	chrY_CP007118v1_random
211000022279762	chrY_CP007119v1_random
211000022280742	chrY_DS483677v1_random
211000022280763	chrY_DS483690v1_random
211000022280187	chrY_DS483725v1_random
211000022279681	chrY_DS483742v1_random
211000022278684	chrY_DS483778v1_random
211000022280748	chrY_DS483788v1_random
211000022279688	chrY_DS483790v1_random
211000022280494	chrY_DS483875v1_random
211000022280504	chrY_DS483889v1_random
211000022280481	chrY_DS483931v1_random
211000022278601	chrY_DS483959v1_random
211000022279030	chrY_DS483966v1_random
211000022279468	chrY_DS483967v1_random
211000022278795	chrY_DS483987v1_random
211000022279951	chrY_DS483988v1_random
211000022280483	chrY_DS483996v1_random
211000022278218	chrY_DS484021v1_random
211000022280619	chrY_DS484029v1_random
211000022279224	chrY_DS484037v1_random
211000022279649	chrY_DS484043v1_random
211000022279186	chrY_DS484049v1_random
211000022278895	chrY_DS484056v1_random
211000022279642	chrY_DS484063v1_random
211000022280686	chrY_DS484094v1_random
211000022279532	chrY_DS484103v1_random
211000022279382	chrY_DS484128v1_random
211000022278436	chrY_DS484142v1_random
211000022278586	chrY_DS484146v1_random
211000022278734	chrY_DS484164v1_random
211000022279709	chrY_DS484171v1_random
211000022280138	chrY_DS484175v1_random
211000022279755	chrY_DS484181v1_random
211000022278278	chrY_DS484184v1_random
211000022279046	chrY_DS484197v1_random
211000022278509	chrY_DS484233v1_random
211000022279261	chrY_DS484249v1_random
211000022278743	chrY_DS484250v1_random
211000022278683	chrY_DS484259v1_random
211000022278802	chrY_DS484266v1_random
211000022278510	chrY_DS484270v1_random
211000022279334	chrY_DS484336v1_random
211000022278577	chrY_DS484351v1_random
211000022280024	chrY_DS484377v1_random
211000022279932	chrY_DS484390v1_random
211000022279583	chrY_DS484441v1_random
211000022279937	chrY_DS484465v1_random
211000022278984	chrY_DS484492v1_random
211000022279268	chrY_DS484523v1_random
211000022278449	chrY_DS484530v1_random
211000022279795	chrY_DS484531v1_random
211000022279104	chrY_DS484574v1_random
211000022279494	chrY_DS484589v1_random
211000022278941	chrY_DS484631v1_random
211000022279123	chrY_DS484637v1_random
211000022279989	chrY_DS484641v1_random
211000022278565	chrY_DS484643v1_random
211000022279026	chrY_DS484665v1_random
211000022279936	chrY_DS484674v1_random
211000022279025	chrY_DS484675v1_random
211000022279582	chrY_DS484680v1_random
211000022278709	chrY_DS484681v1_random
211000022279680	chrY_DS484696v1_random
211000022279090	chrY_DS484706v1_random
211000022279870	chrY_DS484757v1_random
211000022278872	chrY_DS484781v1_random
211000022278214	chrY_DS484805v1_random
211000022279963	chrY_DS484807v1_random
211000022278997	chrY_DS484818v1_random
211000022279876	chrY_DS484820v1_random
211000022279950	chrY_DS484830v1_random
211000022279279	chrY_DS484863v1_random
211000022280116	chrY_DS484875v1_random
211000022279907	chrY_DS484876v1_random
211000022279484	chrY_DS484908v1_random
211000022279392	chrY_DS484909v1_random
211000022280044	chrY_DS484924v1_random
211000022279550	chrY_DS484942v1_random
211000022279485	chrY_DS484945v1_random
211000022279404	chrY_DS484956v1_random
211000022279560	chrY_DS484983v1_random
211000022278722	chrY_DS484986v1_random
211000022278153	chrY_DS484992v1_random
211000022279319	chrY_DS484994v1_random
211000022278405	chrY_DS485013v1_random
211000022279835	chrY_DS485014v1_random
211000022278418	chrY_DS485016v1_random
211000022280157	chrY_DS485028v1_random
211000022279269	chrY_DS485042v1_random
211000022279496	chrY_DS485048v1_random
211000022278791	chrY_DS485051v1_random
211000022278756	chrY_DS485070v1_random
211000022279725	chrY_DS485097v1_random
211000022279491	chrY_DS485099v1_random
211000022278135	chrY_DS485113v1_random
211000022279678	chrY_DS485137v1_random
211000022279918	chrY_DS485143v1_random
211000022279047	chrY_DS485158v1_random
211000022278798	chrY_DS485159v1_random
211000022278935	chrY_DS485166v1_random
211000022279335	chrY_DS485178v1_random
211000022280090	chrY_DS485219v1_random
211000022279174	chrY_DS485236v1_random
211000022278990	chrY_DS485250v1_random
211000022278142	chrY_DS485267v1_random
211000022279974	chrY_DS485283v1_random
211000022279831	chrY_DS485288v1_random
211000022279452	chrY_DS485302v1_random
211000022279679	chrY_DS485315v1_random
211000022279999	chrY_DS485316v1_random
211000022279669	chrY_DS485318v1_random
211000022279410	chrY_DS485320v1_random
211000022279333	chrY_DS485328v1_random
211000022279266	chrY_DS485329v1_random
211000022279986	chrY_DS485335v1_random
211000022279280	chrY_DS485343v1_random
211000022279164	chrY_DS485359v1_random
211000022279511	chrY_DS485363v1_random
211000022279153	chrY_DS485374v1_random
211000022278499	chrY_DS485375v1_random
211000022278995	chrY_DS485388v1_random
211000022279181	chrY_DS485399v1_random
211000022279352	chrY_DS485409v1_random
211000022279935	chrY_DS485416v1_random
211000022279901	chrY_DS485422v1_random
211000022278760	chrY_DS485423v1_random
211000022278936	chrY_DS485427v1_random
211000022279995	chrY_DS485430v1_random
211000022279938	chrY_DS485436v1_random
211000022279458	chrY_DS485440v1_random
211000022279941	chrY_DS485450v1_random
211000022279391	chrY_DS485452v1_random
211000022278450	chrY_DS485460v1_random
211000022279799	chrY_DS485470v1_random
211000022279800	chrY_DS485473v1_random
211000022278987	chrY_DS485483v1_random
211000022278959	chrY_DS485492v1_random
211000022279910	chrY_DS485512v1_random
211000022279165	chrY_DS485523v1_random
211000022279546	chrY_DS485532v1_random
211000022278736	chrY_DS485534v1_random
211000022279813	chrY_DS485552v1_random
211000022279236	chrY_DS485560v1_random
211000022278873	chrY_DS485561v1_random
211000022279005	chrY_DS485575v1_random
211000022278201	chrY_DS485594v1_random
211000022279586	chrY_DS485604v1_random
211000022279661	chrY_DS485625v1_random
211000022279403	chrY_DS485641v1_random
211000022278803	chrY_DS485646v1_random
211000022279459	chrY_DS485685v1_random
211000022279007	chrY_DS485696v1_random
211000022279988	chrY_DS485698v1_random
211000022279486	chrY_DS485718v1_random
211000022279137	chrY_DS485732v1_random
211000022278787	chrY_DS485736v1_random
211000022279385	chrY_DS485739v1_random
211000022279031	chrY_DS485749v1_random
211000022279034	chrY_DS485752v1_random
211000022279801	chrY_DS485755v1_random
211000022279377	chrY_DS485764v1_random
211000022279211	chrY_DS485767v1_random
211000022279314	chrY_DS485772v1_random
211000022279677	chrY_DS485776v1_random
211000022280040	chrY_DS485786v1_random
211000022278682	chrY_DS485795v1_random
211000022279492	chrY_DS485839v1_random
211000022278956	chrY_DS485840v1_random
211000022280072	chrY_DS485849v1_random
211000022279908	chrY_DS485858v1_random
211000022278538	chrY_DS485865v1_random
211000022278772	chrY_DS485873v1_random
211000022278965	chrY_DS485875v1_random
211000022280057	chrY_DS485885v1_random
211000022279791	chrY_DS485888v1_random
211000022279802	chrY_DS485892v1_random
211000022278939	chrY_DS485894v1_random
211000022279272	chrY_DS485901v1_random
211000022278710	chrY_DS485927v1_random
211000022279264	chrY_DS485938v1_random
211000022279972	chrY_DS485956v1_random
211000022279589	chrY_DS485960v1_random
211000022279670	chrY_DS485963v1_random
211000022279646	chrY_DS485972v1_random
211000022279639	chrY_DS485974v1_random
211000022279235	chrY_DS485975v1_random
211000022278495	chrY_DS486003v1_random
2Cen_mapped_Scaffold_10_D1684	chrUn_CP007071v1
2Cen_mapped_Scaffold_43_D1668	chrUn_CP007072v1
2R2_mapped_Scaffold_56_D1828	chrUn_CP007073v1
3Cen_mapped_Scaffold_1_D1896_D1895	chrUn_CP007074v1
3Cen_mapped_Scaffold_27_D1777	chrUn_CP007075v1
3Cen_mapped_Scaffold_31_D1643_D1653_D1791	chrUn_CP007076v1
3Cen_mapped_Scaffold_36_D1605	chrUn_CP007077v1
3Cen_mapped_Scaffold_41_D1641	chrUn_CP007078v1
3Cen_mapped_Scaffold_50_D1686	chrUn_CP007079v1
Unmapped_Scaffold_4_D1555_D1692	chrUn_CP007080v1
Unmapped_Scaffold_8_D1580_D1567	chrUn_CP007081v1
Unmapped_Scaffold_11_D1754	chrUn_CP007082v1
Unmapped_Scaffold_13_D1782	chrUn_CP007083v1
Unmapped_Scaffold_17_D1756_D1775	chrUn_CP007084v1
Unmapped_Scaffold_22_D1753	chrUn_CP007085v1
Unmapped_Scaffold_24_D1707	chrUn_CP007086v1
Unmapped_Scaffold_28_D1723	chrUn_CP007087v1
Unmapped_Scaffold_29_D1705	chrUn_CP007088v1
Unmapped_Scaffold_32_D1773	chrUn_CP007089v1
Unmapped_Scaffold_35_D1599	chrUn_CP007090v1
Unmapped_Scaffold_37_D1608	chrUn_CP007091v1
Unmapped_Scaffold_38_D1625	chrUn_CP007092v1
Unmapped_Scaffold_44_D1670	chrUn_CP007093v1
Unmapped_Scaffold_45_D1673	chrUn_CP007094v1
Unmapped_Scaffold_46_D1675	chrUn_CP007095v1
Unmapped_Scaffold_48_D1678	chrUn_CP007096v1
Unmapped_Scaffold_51_D1697	chrUn_CP007097v1
Unmapped_Scaffold_52_D1739	chrUn_CP007098v1
Unmapped_Scaffold_54_D1776	chrUn_CP007099v1
Unmapped_Scaffold_58_D1862	chrUn_CP007100v1
Unmapped_Scaffold_60_D1601	chrUn_CP007101v1
211000022278279	chrUn_CP007102v1
XY_mapped_Scaffold_42_D1648	chrUn_CP007105v1
rDNA	chrUn_CP007120v1
XY_mapped_Scaffold_7_D1574	chrUn_DS483562v1
211000022280772	chrUn_DS483629v1
211000022280659	chrUn_DS483641v1
211000022280328	chrUn_DS483646v1
211000022280541	chrUn_DS483647v1
211000022280259	chrUn_DS483649v1
211000022278875	chrUn_DS483650v1
211000022279719	chrUn_DS483658v1
211000022279579	chrUn_DS483659v1
211000022279094	chrUn_DS483662v1
211000022279556	chrUn_DS483663v1
211000022279754	chrUn_DS483670v1
211000022279420	chrUn_DS483673v1
211000022279022	chrUn_DS483674v1
211000022279503	chrUn_DS483675v1
211000022278978	chrUn_DS483678v1
211000022279829	chrUn_DS483679v1
211000022278916	chrUn_DS483680v1
211000022279098	chrUn_DS483681v1
211000022278777	chrUn_DS483682v1
211000022279594	chrUn_DS483686v1
211000022279637	chrUn_DS483687v1
211000022279456	chrUn_DS483688v1
