Chr01	chr1
scaffold_1260	chrUn_NW_016684325v1
scaffold_1262	chrUn_NW_016684326v1
scaffold_1264	chrUn_NW_016684327v1
scaffold_1265	chrUn_NW_016684328v1
scaffold_1266	chrUn_NW_016684329v1
scaffold_1267	chrUn_NW_016684330v1
scaffold_1268	chrUn_NW_016684331v1
scaffold_127	chrUn_NW_016683448v1
scaffold_1273	chrUn_NW_016684332v1
scaffold_1275	chrUn_NW_016684333v1
scaffold_1277	chrUn_NW_016684334v1
scaffold_1278	chrUn_NW_016684335v1
scaffold_1280	chrUn_NW_016684336v1
scaffold_1283	chrUn_NW_016684337v1
scaffold_1285	chrUn_NW_016684338v1
scaffold_1286	chrUn_NW_016684339v1
scaffold_1287	chrUn_NW_016684340v1
scaffold_1288	chrUn_NW_016684341v1
scaffold_1289	chrUn_NW_016684342v1
scaffold_129	chrUn_NW_016683449v1
scaffold_1290	chrUn_NW_016684343v1
scaffold_1293	chrUn_NW_016684344v1
scaffold_1294	chrUn_NW_016684345v1
scaffold_1296	chrUn_NW_016684346v1
scaffold_1297	chrUn_NW_016684347v1
scaffold_1298	chrUn_NW_016684348v1
scaffold_1299	chrUn_NW_016684349v1
scaffold_13	chrUn_NW_016683369v1
scaffold_130	chrUn_NW_016683450v1
scaffold_1300	chrUn_NW_016684350v1
scaffold_1305	chrUn_NW_016684351v1
scaffold_1306	chrUn_NW_016684352v1
scaffold_1308	chrUn_NW_016684353v1
scaffold_1309	chrUn_NW_016684354v1
scaffold_131	chrUn_NW_016683451v1
scaffold_1310	chrUn_NW_016684355v1
scaffold_1312	chrUn_NW_016684356v1
scaffold_1313	chrUn_NW_016684357v1
scaffold_1314	chrUn_NW_016684358v1
scaffold_1316	chrUn_NW_016684359v1
scaffold_1317	chrUn_NW_016684360v1
scaffold_1318	chrUn_NW_016684361v1
scaffold_1319	chrUn_NW_016684362v1
scaffold_132	chrUn_NW_016683452v1
scaffold_1323	chrUn_NW_016684363v1
scaffold_1325	chrUn_NW_016684364v1
scaffold_1326	chrUn_NW_016684365v1
scaffold_1328	chrUn_NW_016684366v1
scaffold_1329	chrUn_NW_016684367v1
scaffold_133	chrUn_NW_016683453v1
scaffold_1330	chrUn_NW_016684368v1
scaffold_1331	chrUn_NW_016684369v1
scaffold_1332	chrUn_NW_016684370v1
scaffold_1335	chrUn_NW_016684371v1
scaffold_1336	chrUn_NW_016684372v1
scaffold_1337	chrUn_NW_016684373v1
scaffold_1338	chrUn_NW_016684374v1
scaffold_1339	chrUn_NW_016684375v1
scaffold_134	chrUn_NW_016683454v1
scaffold_1341	chrUn_NW_016684376v1
scaffold_1343	chrUn_NW_016684377v1
scaffold_1345	chrUn_NW_016684378v1
scaffold_1346	chrUn_NW_016684379v1
scaffold_1349	chrUn_NW_016684380v1
scaffold_135	chrUn_NW_016683455v1
scaffold_1351	chrUn_NW_016684381v1
scaffold_1353	chrUn_NW_016684382v1
scaffold_1354	chrUn_NW_016684383v1
scaffold_1355	chrUn_NW_016684384v1
scaffold_1358	chrUn_NW_016684385v1
scaffold_1359	chrUn_NW_016684386v1
scaffold_1360	chrUn_NW_016684387v1
scaffold_1361	chrUn_NW_016684388v1
scaffold_1362	chrUn_NW_016684389v1
scaffold_1363	chrUn_NW_016684390v1
scaffold_1364	chrUn_NW_016684391v1
scaffold_1367	chrUn_NW_016684392v1
scaffold_1369	chrUn_NW_016684393v1
scaffold_137	chrUn_NW_016683456v1
scaffold_1370	chrUn_NW_016684394v1
scaffold_1373	chrUn_NW_016684395v1
scaffold_1375	chrUn_NW_016684396v1
scaffold_1376	chrUn_NW_016684397v1
scaffold_1377	chrUn_NW_016684398v1
scaffold_1379	chrUn_NW_016684399v1
scaffold_138	chrUn_NW_016683457v1
scaffold_1380	chrUn_NW_016684400v1
scaffold_1383	chrUn_NW_016684401v1
scaffold_1384	chrUn_NW_016684402v1
scaffold_1385	chrUn_NW_016684403v1
scaffold_1388	chrUn_NW_016684404v1
scaffold_1389	chrUn_NW_016684405v1
scaffold_139	chrUn_NW_016683458v1
scaffold_1390	chrUn_NW_016684406v1
scaffold_1391	chrUn_NW_016684407v1
scaffold_1394	chrUn_NW_016684408v1
scaffold_1397	chrUn_NW_016684409v1
scaffold_1398	chrUn_NW_016684410v1
scaffold_14	chrUn_NW_016683370v1
scaffold_140	chrUn_NW_016683459v1
scaffold_1401	chrUn_NW_016684411v1
scaffold_1402	chrUn_NW_016684412v1
scaffold_1403	chrUn_NW_016684413v1
scaffold_1404	chrUn_NW_016684414v1
scaffold_1407	chrUn_NW_016684415v1
scaffold_1408	chrUn_NW_016684416v1
scaffold_1409	chrUn_NW_016684417v1
scaffold_141	chrUn_NW_016683460v1
scaffold_1411	chrUn_NW_016684418v1
scaffold_1412	chrUn_NW_016684419v1
scaffold_1413	chrUn_NW_016684420v1
scaffold_1414	chrUn_NW_016684421v1
scaffold_1415	chrUn_NW_016684422v1
scaffold_1416	chrUn_NW_016684423v1
scaffold_1417	chrUn_NW_016684424v1
scaffold_1419	chrUn_NW_016684425v1
scaffold_1421	chrUn_NW_016684426v1
scaffold_1422	chrUn_NW_016684427v1
scaffold_1423	chrUn_NW_016684428v1
scaffold_1424	chrUn_NW_016684429v1
scaffold_1425	chrUn_NW_016684430v1
scaffold_1426	chrUn_NW_016684431v1
scaffold_1427	chrUn_NW_016684432v1
scaffold_1428	chrUn_NW_016684433v1
scaffold_1429	chrUn_NW_016684434v1
scaffold_143	chrUn_NW_016683461v1
scaffold_1431	chrUn_NW_016684435v1
scaffold_1433	chrUn_NW_016684436v1
scaffold_1434	chrUn_NW_016684437v1
scaffold_1436	chrUn_NW_016684438v1
scaffold_1437	chrUn_NW_016684439v1
scaffold_1438	chrUn_NW_016684440v1
scaffold_144	chrUn_NW_016683462v1
scaffold_1440	chrUn_NW_016684441v1
scaffold_1441	chrUn_NW_016684442v1
scaffold_1442	chrUn_NW_016684443v1
scaffold_1444	chrUn_NW_016684444v1
scaffold_1446	chrUn_NW_016684445v1
scaffold_1447	chrUn_NW_016684446v1
scaffold_145	chrUn_NW_016683463v1
scaffold_1451	chrUn_NW_016684447v1
scaffold_1453	chrUn_NW_016684448v1
scaffold_1454	chrUn_NW_016684449v1
scaffold_1456	chrUn_NW_016684450v1
scaffold_1457	chrUn_NW_016684451v1
scaffold_1458	chrUn_NW_016684452v1
scaffold_1459	chrUn_NW_016684453v1
scaffold_1461	chrUn_NW_016684454v1
scaffold_1464	chrUn_NW_016684455v1
scaffold_1465	chrUn_NW_016684456v1
scaffold_1466	chrUn_NW_016684457v1
scaffold_1467	chrUn_NW_016684458v1
scaffold_1468	chrUn_NW_016684459v1
scaffold_147	chrUn_NW_016683464v1
scaffold_1470	chrUn_NW_016684460v1
scaffold_1475	chrUn_NW_016684461v1
scaffold_1476	chrUn_NW_016684462v1
scaffold_1479	chrUn_NW_016684463v1
scaffold_148	chrUn_NW_016683465v1
scaffold_1485	chrUn_NW_016684464v1
scaffold_1486	chrUn_NW_016684465v1
scaffold_1487	chrUn_NW_016684466v1
scaffold_1488	chrUn_NW_016684467v1
scaffold_1489	chrUn_NW_016684468v1
scaffold_149	chrUn_NW_016683466v1
scaffold_1490	chrUn_NW_016684469v1
scaffold_1491	chrUn_NW_016684470v1
scaffold_1492	chrUn_NW_016684471v1
scaffold_1493	chrUn_NW_016684472v1
scaffold_1495	chrUn_NW_016684473v1
scaffold_1498	chrUn_NW_016684474v1
scaffold_1499	chrUn_NW_016684475v1
scaffold_15	chrUn_NW_016683371v1
scaffold_150	chrUn_NW_016683467v1
scaffold_1500	chrUn_NW_016684476v1
scaffold_1508	chrUn_NW_016684477v1
scaffold_151	chrUn_NW_016683468v1
scaffold_1510	chrUn_NW_016684478v1
scaffold_1512	chrUn_NW_016684479v1
scaffold_1513	chrUn_NW_016684480v1
scaffold_1515	chrUn_NW_016684481v1
scaffold_1516	chrUn_NW_016684482v1
scaffold_1517	chrUn_NW_016684483v1
scaffold_1518	chrUn_NW_016684484v1
scaffold_1519	chrUn_NW_016684485v1
scaffold_152	chrUn_NW_016683469v1
scaffold_1520	chrUn_NW_016684486v1
scaffold_1521	chrUn_NW_016684487v1
scaffold_1522	chrUn_NW_016684488v1
scaffold_1523	chrUn_NW_016684489v1
scaffold_1524	chrUn_NW_016684490v1
scaffold_1525	chrUn_NW_016684491v1
scaffold_1528	chrUn_NW_016684492v1
scaffold_1530	chrUn_NW_016684493v1
scaffold_1533	chrUn_NW_016684494v1
scaffold_1534	chrUn_NW_016684495v1
scaffold_1537	chrUn_NW_016684496v1
scaffold_1539	chrUn_NW_016684497v1
scaffold_154	chrUn_NW_016683470v1
scaffold_1542	chrUn_NW_016684498v1
scaffold_1544	chrUn_NW_016684499v1
scaffold_1545	chrUn_NW_016684500v1
scaffold_1546	chrUn_NW_016684501v1
scaffold_1547	chrUn_NW_016684502v1
scaffold_1548	chrUn_NW_016684503v1
scaffold_1549	chrUn_NW_016684504v1
scaffold_155	chrUn_NW_016683471v1
scaffold_1550	chrUn_NW_016684505v1
scaffold_1552	chrUn_NW_016684506v1
scaffold_1554	chrUn_NW_016684507v1
scaffold_1555	chrUn_NW_016684508v1
scaffold_1556	chrUn_NW_016684509v1
scaffold_1558	chrUn_NW_016684510v1
scaffold_1559	chrUn_NW_016684511v1
scaffold_156	chrUn_NW_016683472v1
scaffold_1560	chrUn_NW_016684512v1
scaffold_1565	chrUn_NW_016684513v1
scaffold_1566	chrUn_NW_016684514v1
scaffold_1568	chrUn_NW_016684515v1
scaffold_1569	chrUn_NW_016684516v1
scaffold_1570	chrUn_NW_016684517v1
scaffold_1572	chrUn_NW_016684518v1
scaffold_1574	chrUn_NW_016684519v1
scaffold_1575	chrUn_NW_016684520v1
scaffold_1578	chrUn_NW_016684521v1
scaffold_1579	chrUn_NW_016684522v1
scaffold_1581	chrUn_NW_016684523v1
scaffold_1582	chrUn_NW_016684524v1
scaffold_1583	chrUn_NW_016684525v1
scaffold_1584	chrUn_NW_016684526v1
scaffold_1585	chrUn_NW_016684527v1
scaffold_1587	chrUn_NW_016684528v1
scaffold_1588	chrUn_NW_016684529v1
scaffold_159	chrUn_NW_016683473v1
scaffold_1590	chrUn_NW_016684530v1
scaffold_1591	chrUn_NW_016684531v1
scaffold_1592	chrUn_NW_016684532v1
scaffold_1593	chrUn_NW_016684533v1
scaffold_1595	chrUn_NW_016684534v1
scaffold_1597	chrUn_NW_016684535v1
scaffold_1598	chrUn_NW_016684536v1
scaffold_1599	chrUn_NW_016684537v1
scaffold_16	chrUn_NW_016683372v1
scaffold_160	chrUn_NW_016683474v1
scaffold_1602	chrUn_NW_016684538v1
scaffold_1604	chrUn_NW_016684539v1
scaffold_1605	chrUn_NW_016684540v1
scaffold_1606	chrUn_NW_016684541v1
scaffold_1607	chrUn_NW_016684542v1
scaffold_1608	chrUn_NW_016684543v1
scaffold_1609	chrUn_NW_016684544v1
scaffold_161	chrUn_NW_016683475v1
scaffold_1612	chrUn_NW_016684545v1
scaffold_1615	chrUn_NW_016684546v1
scaffold_1616	chrUn_NW_016684547v1
scaffold_1617	chrUn_NW_016684548v1
scaffold_1618	chrUn_NW_016684549v1
scaffold_1619	chrUn_NW_016684550v1
scaffold_162	chrUn_NW_016683476v1
scaffold_1620	chrUn_NW_016684551v1
scaffold_1625	chrUn_NW_016684552v1
scaffold_1626	chrUn_NW_016684553v1
scaffold_1627	chrUn_NW_016684554v1
scaffold_1628	chrUn_NW_016684555v1
scaffold_1629	chrUn_NW_016684556v1
scaffold_163	chrUn_NW_016683477v1
scaffold_1631	chrUn_NW_016684557v1
scaffold_1632	chrUn_NW_016684558v1
scaffold_1634	chrUn_NW_016684559v1
scaffold_1635	chrUn_NW_016684560v1
scaffold_1637	chrUn_NW_016684561v1
scaffold_164	chrUn_NW_016683478v1
scaffold_1640	chrUn_NW_016684562v1
scaffold_1641	chrUn_NW_016684563v1
scaffold_1645	chrUn_NW_016684564v1
scaffold_1646	chrUn_NW_016684565v1
scaffold_1648	chrUn_NW_016684566v1
scaffold_1649	chrUn_NW_016684567v1
scaffold_165	chrUn_NW_016683479v1
scaffold_1650	chrUn_NW_016684568v1
scaffold_1651	chrUn_NW_016684569v1
scaffold_1655	chrUn_NW_016684570v1
scaffold_1656	chrUn_NW_016684571v1
scaffold_1660	chrUn_NW_016684572v1
scaffold_1664	chrUn_NW_016684573v1
scaffold_1665	chrUn_NW_016684574v1
scaffold_167	chrUn_NW_016683480v1
scaffold_1670	chrUn_NW_016684575v1
scaffold_1671	chrUn_NW_016684576v1
scaffold_1672	chrUn_NW_016684577v1
scaffold_1673	chrUn_NW_016684578v1
scaffold_1674	chrUn_NW_016684579v1
scaffold_1675	chrUn_NW_016684580v1
scaffold_1676	chrUn_NW_016684581v1
scaffold_1677	chrUn_NW_016684582v1
scaffold_1678	chrUn_NW_016684583v1
scaffold_1681	chrUn_NW_016684584v1
scaffold_1683	chrUn_NW_016684585v1
scaffold_1684	chrUn_NW_016684586v1
scaffold_1686	chrUn_NW_016684587v1
scaffold_1687	chrUn_NW_016684588v1
scaffold_1688	chrUn_NW_016684589v1
scaffold_169	chrUn_NW_016683481v1
scaffold_1690	chrUn_NW_016684590v1
scaffold_1691	chrUn_NW_016684591v1
scaffold_1692	chrUn_NW_016684592v1
scaffold_1697	chrUn_NW_016684593v1
scaffold_1699	chrUn_NW_016684594v1
scaffold_170	chrUn_NW_016683482v1
scaffold_1700	chrUn_NW_016684595v1
scaffold_1701	chrUn_NW_016684596v1
scaffold_1702	chrUn_NW_016684597v1
scaffold_1704	chrUn_NW_016684598v1
scaffold_1705	chrUn_NW_016684599v1
scaffold_1708	chrUn_NW_016684600v1
scaffold_1709	chrUn_NW_016684601v1
scaffold_171	chrUn_NW_016683483v1
scaffold_1710	chrUn_NW_016684602v1
scaffold_1711	chrUn_NW_016684603v1
scaffold_1712	chrUn_NW_016684604v1
scaffold_1714	chrUn_NW_016684605v1
scaffold_1716	chrUn_NW_016684606v1
scaffold_1717	chrUn_NW_016684607v1
scaffold_1718	chrUn_NW_016684608v1
scaffold_1719	chrUn_NW_016684609v1
scaffold_172	chrUn_NW_016683484v1
scaffold_1720	chrUn_NW_016684610v1
scaffold_1721	chrUn_NW_016684611v1
scaffold_1722	chrUn_NW_016684612v1
scaffold_1723	chrUn_NW_016684613v1
scaffold_1725	chrUn_NW_016684614v1
scaffold_1726	chrUn_NW_016684615v1
scaffold_1729	chrUn_NW_016684616v1
scaffold_173	chrUn_NW_016683485v1
scaffold_1730	chrUn_NW_016684617v1
scaffold_1732	chrUn_NW_016684618v1
scaffold_1733	chrUn_NW_016684619v1
scaffold_1735	chrUn_NW_016684620v1
scaffold_1736	chrUn_NW_016684621v1
scaffold_1737	chrUn_NW_016684622v1
scaffold_1739	chrUn_NW_016684623v1
scaffold_174	chrUn_NW_016683486v1
scaffold_1740	chrUn_NW_016684624v1
scaffold_1742	chrUn_NW_016684625v1
scaffold_1743	chrUn_NW_016684626v1
scaffold_1744	chrUn_NW_016684627v1
scaffold_1746	chrUn_NW_016684628v1
scaffold_1749	chrUn_NW_016684629v1
scaffold_175	chrUn_NW_016683487v1
scaffold_1750	chrUn_NW_016684630v1
scaffold_1751	chrUn_NW_016684631v1
scaffold_1752	chrUn_NW_016684632v1
scaffold_1753	chrUn_NW_016684633v1
scaffold_1754	chrUn_NW_016684634v1
scaffold_1755	chrUn_NW_016684635v1
scaffold_1756	chrUn_NW_016684636v1
scaffold_1757	chrUn_NW_016684637v1
scaffold_1759	chrUn_NW_016684638v1
scaffold_1760	chrUn_NW_016684639v1
scaffold_1762	chrUn_NW_016684640v1
scaffold_1763	chrUn_NW_016684641v1
scaffold_1764	chrUn_NW_016684642v1
scaffold_1766	chrUn_NW_016684643v1
scaffold_1767	chrUn_NW_016684644v1
scaffold_177	chrUn_NW_016683488v1
scaffold_1771	chrUn_NW_016684645v1
scaffold_1773	chrUn_NW_016684646v1
scaffold_1774	chrUn_NW_016684647v1
scaffold_178	chrUn_NW_016683489v1
scaffold_1780	chrUn_NW_016684648v1
scaffold_1781	chrUn_NW_016684649v1
scaffold_1783	chrUn_NW_016684650v1
scaffold_1785	chrUn_NW_016684651v1
scaffold_1787	chrUn_NW_016684652v1
scaffold_1788	chrUn_NW_016684653v1
scaffold_1789	chrUn_NW_016684654v1
scaffold_1793	chrUn_NW_016684655v1
scaffold_1795	chrUn_NW_016684656v1
scaffold_1796	chrUn_NW_016684657v1
scaffold_1799	chrUn_NW_016684658v1
scaffold_18	chrUn_NW_016683373v1
scaffold_180	chrUn_NW_016683490v1
scaffold_1800	chrUn_NW_016684659v1
scaffold_1803	chrUn_NW_016684660v1
scaffold_1804	chrUn_NW_016684661v1
scaffold_1807	chrUn_NW_016684662v1
scaffold_1808	chrUn_NW_016684663v1
scaffold_1809	chrUn_NW_016684664v1
scaffold_1810	chrUn_NW_016684665v1
scaffold_1811	chrUn_NW_016684666v1
scaffold_1814	chrUn_NW_016684667v1
scaffold_1815	chrUn_NW_016684668v1
scaffold_1816	chrUn_NW_016684669v1
scaffold_1818	chrUn_NW_016684670v1
scaffold_1820	chrUn_NW_016684671v1
scaffold_1821	chrUn_NW_016684672v1
scaffold_1822	chrUn_NW_016684673v1
scaffold_1823	chrUn_NW_016684674v1
scaffold_1825	chrUn_NW_016684675v1
scaffold_1827	chrUn_NW_016684676v1
scaffold_1828	chrUn_NW_016684677v1
scaffold_1829	chrUn_NW_016684678v1
scaffold_183	chrUn_NW_016683491v1
scaffold_1830	chrUn_NW_016684679v1
scaffold_1832	chrUn_NW_016684680v1
scaffold_1833	chrUn_NW_016684681v1
scaffold_1834	chrUn_NW_016684682v1
scaffold_1835	chrUn_NW_016684683v1
scaffold_1836	chrUn_NW_016684684v1
scaffold_1837	chrUn_NW_016684685v1
scaffold_1838	chrUn_NW_016684686v1
scaffold_1841	chrUn_NW_016684687v1
scaffold_1843	chrUn_NW_016684688v1
scaffold_1844	chrUn_NW_016684689v1
scaffold_1845	chrUn_NW_016684690v1
scaffold_1846	chrUn_NW_016684691v1
scaffold_1848	chrUn_NW_016684692v1
scaffold_1849	chrUn_NW_016684693v1
scaffold_185	chrUn_NW_016683492v1
scaffold_1851	chrUn_NW_016684694v1
scaffold_1852	chrUn_NW_016684695v1
scaffold_1853	chrUn_NW_016684696v1
scaffold_1854	chrUn_NW_016684697v1
scaffold_1855	chrUn_NW_016684698v1
scaffold_1856	chrUn_NW_016684699v1
scaffold_1858	chrUn_NW_016684700v1
