chr1	1
GL383574.1	CHR_HSCHR19_1_CTG3_1
GL383575.2	CHR_HSCHR19_2_CTG2
GL383576.1	CHR_HSCHR19_3_CTG2
GL383577.2	CHR_HSCHR20_1_CTG1
GL383578.2	CHR_HSCHR21_1_CTG1_1
GL383579.2	CHR_HSCHR21_2_CTG1_1
GL383580.2	CHR_HSCHR21_3_CTG1_1
GL383581.2	CHR_HSCHR21_4_CTG1_1
GL383582.2	CHR_HSCHR22_1_CTG1
GL383583.2	CHR_HSCHR22_1_CTG2
GL582966.2	CHR_HSCHR2_2_CTG7_2
GL877875.1	CHR_HSCHR12_1_CTG1
GL877876.1	CHR_HSCHR12_2_CTG2
GL949742.1	CHR_HSCHR5_2_CTG1
GL949746.1	CHR_HSCHR19LRC_COX1_CTG3_1
GL949747.2	CHR_HSCHR19LRC_COX2_CTG3_1
GL949748.2	CHR_HSCHR19LRC_LRC_I_CTG3_1
GL949749.2	CHR_HSCHR19LRC_LRC_J_CTG3_1
GL949750.2	CHR_HSCHR19LRC_LRC_S_CTG3_1
GL949751.2	CHR_HSCHR19LRC_LRC_T_CTG3_1
GL949752.1	CHR_HSCHR19LRC_PGF1_CTG3_1
GL949753.2	CHR_HSCHR19LRC_PGF2_CTG3_1
JH159136.1	CHR_HG142_HG150_NOVEL_TEST
JH159137.1	CHR_HG151_NOVEL_TEST
JH159146.1	CHR_HSCHR17_4_CTG4
JH159147.1	CHR_HSCHR17_5_CTG4
JH159148.1	CHR_HSCHR17_6_CTG4
JH636055.2	CHR_HSCHR3_1_CTG1
KB021644.2	CHR_HSCHR6_1_CTG3
KB663609.1	CHR_HSCHR22_2_CTG1
KI270302.1	KI270302.1
KI270303.1	KI270303.1
KI270304.1	KI270304.1
KI270305.1	KI270305.1
KI270310.1	KI270310.1
KI270311.1	KI270311.1
KI270312.1	KI270312.1
KI270315.1	KI270315.1
KI270316.1	KI270316.1
KI270317.1	KI270317.1
KI270320.1	KI270320.1
KI270322.1	KI270322.1
KI270329.1	KI270329.1
KI270330.1	KI270330.1
KI270333.1	KI270333.1
KI270334.1	KI270334.1
KI270335.1	KI270335.1
KI270336.1	KI270336.1
KI270337.1	KI270337.1
KI270338.1	KI270338.1
KI270340.1	KI270340.1
KI270362.1	KI270362.1
KI270363.1	KI270363.1
KI270364.1	KI270364.1
KI270366.1	KI270366.1
KI270371.1	KI270371.1
KI270372.1	KI270372.1
KI270373.1	KI270373.1
KI270374.1	KI270374.1
KI270375.1	KI270375.1
KI270376.1	KI270376.1
KI270378.1	KI270378.1
KI270379.1	KI270379.1
KI270381.1	KI270381.1
KI270382.1	KI270382.1
KI270383.1	KI270383.1
KI270384.1	KI270384.1
KI270385.1	KI270385.1
KI270386.1	KI270386.1
KI270387.1	KI270387.1
KI270388.1	KI270388.1
KI270389.1	KI270389.1
KI270390.1	KI270390.1
KI270391.1	KI270391.1
KI270392.1	KI270392.1
KI270393.1	KI270393.1
KI270394.1	KI270394.1
KI270395.1	KI270395.1
KI270396.1	KI270396.1
KI270411.1	KI270411.1
KI270412.1	KI270412.1
KI270414.1	KI270414.1
KI270417.1	KI270417.1
KI270418.1	KI270418.1
KI270419.1	KI270419.1
KI270420.1	KI270420.1
KI270422.1	KI270422.1
KI270423.1	KI270423.1
KI270424.1	KI270424.1
KI270425.1	KI270425.1
KI270429.1	KI270429.1
KI270435.1	KI270435.1
KI270438.1	KI270438.1
KI270442.1	KI270442.1
KI270448.1	KI270448.1
KI270465.1	KI270465.1
KI270466.1	KI270466.1
KI270467.1	KI270467.1
KI270468.1	KI270468.1
KI270507.1	KI270507.1
KI270508.1	KI270508.1
KI270509.1	KI270509.1
KI270510.1	KI270510.1
KI270511.1	KI270511.1
KI270512.1	KI270512.1
KI270515.1	KI270515.1
KI270516.1	KI270516.1
KI270517.1	KI270517.1
KI270518.1	KI270518.1
KI270519.1	KI270519.1
KI270521.1	KI270521.1
KI270522.1	KI270522.1
KI270528.1	KI270528.1
KI270529.1	KI270529.1
KI270530.1	KI270530.1
KI270538.1	KI270538.1
KI270539.1	KI270539.1
KI270544.1	KI270544.1
KI270548.1	KI270548.1
KI270579.1	KI270579.1
KI270580.1	KI270580.1
KI270581.1	KI270581.1
KI270582.1	KI270582.1
KI270583.1	KI270583.1
KI270584.1	KI270584.1
KI270587.1	KI270587.1
KI270588.1	KI270588.1
KI270589.1	KI270589.1
KI270590.1	KI270590.1
KI270591.1	KI270591.1
KI270593.1	KI270593.1
KI270706.1	KI270706.1
KI270707.1	KI270707.1
KI270708.1	KI270708.1
KI270709.1	KI270709.1
KI270710.1	KI270710.1
KI270711.1	KI270711.1
KI270712.1	KI270712.1
KI270713.1	KI270713.1
KI270714.1	KI270714.1
KI270715.1	KI270715.1
KI270716.1	KI270716.1
KI270717.1	KI270717.1
KI270718.1	KI270718.1
KI270719.1	KI270719.1
KI270720.1	KI270720.1
KI270721.1	KI270721.1
KI270722.1	KI270722.1
KI270723.1	KI270723.1
KI270724.1	KI270724.1
KI270725.1	KI270725.1
KI270726.1	KI270726.1
KI270727.1	KI270727.1
KI270728.1	KI270728.1
KI270729.1	KI270729.1
KI270730.1	KI270730.1
KI270731.1	KI270731.1
KI270732.1	KI270732.1
KI270733.1	KI270733.1
KI270734.1	KI270734.1
KI270735.1	KI270735.1
KI270736.1	KI270736.1
KI270737.1	KI270737.1
KI270738.1	KI270738.1
KI270739.1	KI270739.1
KI270740.1	KI270740.1
KI270741.1	KI270741.1
KI270742.1	KI270742.1
KI270743.1	KI270743.1
KI270744.1	KI270744.1
KI270745.1	KI270745.1
KI270746.1	KI270746.1
KI270747.1	KI270747.1
KI270748.1	KI270748.1
KI270749.1	KI270749.1
KI270750.1	KI270750.1
KI270751.1	KI270751.1
KI270752.1	KI270752.1
KI270753.1	KI270753.1
KI270754.1	KI270754.1
KI270755.1	KI270755.1
KI270756.1	KI270756.1
KI270757.1	KI270757.1
KI270758.1	CHR_HSCHR6_8_CTG1
KI270759.1	CHR_HSCHR1_1_CTG32_1
KI270760.1	CHR_HSCHR1_1_CTG11
KI270761.1	CHR_HSCHR1_2_CTG32_1
KI270762.1	CHR_HSCHR1_1_CTG3
KI270763.1	CHR_HSCHR1_3_CTG32_1
KI270764.1	CHR_HSCHR1_4_CTG32_1
KI270765.1	CHR_HSCHR1_4_CTG31
KI270766.1	CHR_HSCHR1_2_CTG3
KI270767.1	CHR_HSCHR2_1_CTG15
KI270768.1	CHR_HSCHR2_3_CTG7_2
KI270769.1	CHR_HSCHR2_1_CTG1
KI270770.1	CHR_HSCHR2_2_CTG1
KI270771.1	CHR_HSCHR2_4_CTG7_2
KI270772.1	CHR_HSCHR2_1_CTG7
KI270773.1	CHR_HSCHR2_3_CTG1
KI270774.1	CHR_HSCHR2_4_CTG1
KI270775.1	CHR_HSCHR2_5_CTG7_2
KI270776.1	CHR_HSCHR2_3_CTG15
KI270777.1	CHR_HSCHR3_2_CTG2_1
KI270778.1	CHR_HSCHR3_3_CTG2_1
KI270779.1	CHR_HSCHR3_1_CTG3
KI270780.1	CHR_HSCHR3_4_CTG2_1
KI270781.1	CHR_HSCHR3_5_CTG2_1
KI270782.1	CHR_HSCHR3_2_CTG3
KI270783.1	CHR_HSCHR3_3_CTG1
KI270784.1	CHR_HSCHR3_9_CTG3
KI270785.1	CHR_HSCHR4_2_CTG12
KI270786.1	CHR_HSCHR4_3_CTG12
KI270787.1	CHR_HSCHR4_1_CTG8_1
KI270788.1	CHR_HSCHR4_4_CTG12
KI270789.1	CHR_HSCHR4_5_CTG12
KI270790.1	CHR_HSCHR4_1_CTG4
KI270791.1	CHR_HSCHR5_3_CTG1
KI270792.1	CHR_HSCHR5_4_CTG1
KI270793.1	CHR_HSCHR5_5_CTG1
KI270794.1	CHR_HSCHR5_6_CTG1
KI270795.1	CHR_HSCHR5_2_CTG5
KI270796.1	CHR_HSCHR5_4_CTG1_1
KI270797.1	CHR_HSCHR6_1_CTG4
KI270798.1	CHR_HSCHR6_1_CTG5
KI270799.1	CHR_HSCHR6_1_CTG6
KI270800.1	CHR_HSCHR6_1_CTG7
KI270801.1	CHR_HSCHR6_1_CTG8
KI270802.1	CHR_HSCHR6_1_CTG9
KI270803.1	CHR_HSCHR7_2_CTG6
KI270804.1	CHR_HSCHR7_1_CTG1
KI270805.1	CHR_HSCHR7_1_CTG7
KI270806.1	CHR_HSCHR7_1_CTG4_4
KI270807.1	CHR_HSCHR7_2_CTG7
KI270808.1	CHR_HSCHR7_3_CTG6
KI270809.1	CHR_HSCHR7_2_CTG4_4
KI270810.1	CHR_HSCHR8_1_CTG7
KI270811.1	CHR_HSCHR8_1_CTG1
KI270812.1	CHR_HSCHR8_2_CTG1
KI270813.1	CHR_HSCHR8_3_CTG1
KI270814.1	CHR_HSCHR8_1_CTG6
KI270815.1	CHR_HSCHR8_2_CTG7
KI270816.1	CHR_HSCHR8_3_CTG7
KI270817.1	CHR_HSCHR8_4_CTG7
KI270818.1	CHR_HSCHR8_4_CTG1
KI270819.1	CHR_HSCHR8_5_CTG7
KI270820.1	CHR_HSCHR8_6_CTG7
KI270821.1	CHR_HSCHR8_8_CTG1
KI270822.1	CHR_HSCHR8_9_CTG1
KI270823.1	CHR_HSCHR9_1_CTG5
KI270824.1	CHR_HSCHR10_1_CTG3
KI270825.1	CHR_HSCHR10_1_CTG4
KI270826.1	CHR_HSCHR11_1_CTG2
KI270827.1	CHR_HSCHR11_1_CTG3
KI270829.1	CHR_HSCHR11_1_CTG5
KI270830.1	CHR_HSCHR11_1_CTG6
KI270831.1	CHR_HSCHR11_1_CTG7
KI270832.1	CHR_HSCHR11_1_CTG8
KI270833.1	CHR_HSCHR12_5_CTG2_1
KI270834.1	CHR_HSCHR12_6_CTG2_1
KI270835.1	CHR_HSCHR12_4_CTG2
KI270836.1	CHR_HSCHR12_7_CTG2_1
KI270837.1	CHR_HSCHR12_5_CTG2
KI270838.1	CHR_HSCHR13_1_CTG1
KI270839.1	CHR_HSCHR13_1_CTG2
KI270840.1	CHR_HSCHR13_1_CTG3
KI270841.1	CHR_HSCHR13_1_CTG4
KI270842.1	CHR_HSCHR13_1_CTG5
KI270843.1	CHR_HSCHR13_1_CTG6
KI270844.1	CHR_HSCHR14_1_CTG1
KI270845.1	CHR_HSCHR14_2_CTG1
KI270846.1	CHR_HSCHR14_3_CTG1
KI270847.1	CHR_HSCHR14_7_CTG1
KI270848.1	CHR_HSCHR15_1_CTG3
KI270849.1	CHR_HSCHR15_3_CTG8
KI270850.1	CHR_HSCHR15_5_CTG8
KI270851.1	CHR_HSCHR15_3_CTG3
KI270852.1	CHR_HSCHR15_1_CTG1
KI270853.1	CHR_HSCHR16_1_CTG1
KI270854.1	CHR_HSCHR16_CTG2
KI270855.1	CHR_HSCHR16_3_CTG1
KI270856.1	CHR_HSCHR16_4_CTG1
KI270857.1	CHR_HSCHR17_7_CTG4
KI270858.1	CHR_HSCHR17_8_CTG4
KI270859.1	CHR_HSCHR17_9_CTG4
KI270860.1	CHR_HSCHR17_1_CTG9
KI270861.1	CHR_HSCHR17_1_CTG2
KI270862.1	CHR_HSCHR17_2_CTG2
KI270863.1	CHR_HSCHR18_3_CTG2_1
KI270864.1	CHR_HSCHR18_4_CTG1_1
KI270865.1	CHR_HSCHR19_4_CTG2
KI270866.1	CHR_HSCHR19_2_CTG3_1
KI270867.1	CHR_HSCHR19_3_CTG3_1
KI270868.1	CHR_HSCHR19_5_CTG2
KI270869.1	CHR_HSCHR20_1_CTG2
KI270870.1	CHR_HSCHR20_1_CTG3
KI270871.1	CHR_HSCHR20_1_CTG4
KI270872.1	CHR_HSCHR21_5_CTG2
KI270873.1	CHR_HSCHR21_6_CTG1_1
KI270874.1	CHR_HSCHR21_8_CTG1_1
KI270875.1	CHR_HSCHR22_1_CTG3
KI270876.1	CHR_HSCHR22_1_CTG4
KI270877.1	CHR_HSCHR22_1_CTG5
KI270878.1	CHR_HSCHR22_1_CTG6
KI270879.1	CHR_HSCHR22_1_CTG7
KI270880.1	CHR_HSCHRX_1_CTG3
KI270881.1	CHR_HSCHRX_2_CTG12
KI270882.1	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
KI270883.1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
KI270884.1	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
KI270885.1	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1
KI270886.1	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1
KI270887.1	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
KI270888.1	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1
KI270889.1	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1
KI270890.1	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
KI270891.1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
KI270892.1	CHR_HSCHR1_ALT2_1_CTG32_1
KI270893.1	CHR_HSCHR2_2_CTG15
KI270894.1	CHR_HSCHR2_2_CTG7
KI270895.1	CHR_HSCHR3_3_CTG3
KI270896.1	CHR_HSCHR4_6_CTG12
KI270897.1	CHR_HSCHR5_1_CTG1_1
KI270898.1	CHR_HSCHR5_3_CTG5
KI270899.1	CHR_HSCHR7_2_CTG1
KI270900.1	CHR_HSCHR8_5_CTG1
KI270901.1	CHR_HSCHR8_6_CTG1
KI270902.1	CHR_HSCHR11_2_CTG1
KI270903.1	CHR_HSCHR11_2_CTG1_1
KI270904.1	CHR_HSCHR12_3_CTG2
KI270905.1	CHR_HSCHR15_4_CTG8
KI270906.1	CHR_HSCHR15_2_CTG3
KI270907.1	CHR_HSCHR17_2_CTG1
KI270908.1	CHR_HSCHR17_2_CTG5
KI270909.1	CHR_HSCHR17_10_CTG4
KI270910.1	CHR_HSCHR17_3_CTG2
KI270911.1	CHR_HSCHR18_ALT2_CTG2_1
KI270912.1	CHR_HSCHR18_ALT21_CTG2_1
KI270913.1	CHR_HSCHRX_2_CTG3
KI270914.1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
KI270915.1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
KI270916.1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
KI270917.1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
KI270918.1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
KI270919.1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
KI270920.1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
KI270921.1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KI270922.1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
KI270923.1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
KI270924.1	CHR_HSCHR3_4_CTG3
KI270925.1	CHR_HSCHR4_7_CTG12
KI270926.1	CHR_HSCHR8_7_CTG1
KI270927.1	CHR_HSCHR11_3_CTG1
KI270928.1	CHR_HSCHR22_3_CTG1
KI270929.1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
KI270930.1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
KI270931.1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
KI270932.1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
KI270933.1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
KI270934.1	CHR_HSCHR3_5_CTG3
KI270935.1	CHR_HSCHR3_6_CTG3
KI270936.1	CHR_HSCHR3_7_CTG3
KI270937.1	CHR_HSCHR3_8_CTG3
KI270938.1	CHR_HSCHR19_4_CTG3_1
KN196472.1	CHR_HG986_PATCH
KN196473.1	CHR_HG2058_PATCH
KN196474.1	CHR_HG2104_PATCH
KN196475.1	CHR_HG2066_PATCH
KN196476.1	CHR_HG2022_PATCH
KN196477.1	CHR_HSCHR5_7_CTG1
KN196478.1	CHR_HG2128_PATCH
KN196479.1	CHR_HG2030_PATCH
KN196480.1	CHR_HG2191_PATCH
KN196481.1	CHR_HG2217_PATCH
KN196482.1	CHR_HG23_PATCH
KN196483.1	CHR_HG2216_PATCH
KN196484.1	CHR_HG2021_PATCH
KN196485.1	CHR_HSCHR22_4_CTG1
KN196486.1	CHR_HSCHR22_5_CTG1
KN196487.1	CHR_HG2062_PATCH
KN538360.1	CHR_HG1832_PATCH
KN538361.1	CHR_HG2095_PATCH
KN538362.1	CHR_HG2233_PATCH
KN538363.1	CHR_HG2232_PATCH
KN538364.1	CHR_HG126_PATCH
KN538365.1	CHR_HG2241_PATCH
KN538366.1	CHR_HG2242_HG2243_PATCH
KN538367.1	CHR_HG2244_HG2245_PATCH
KN538368.1	CHR_HSCHR11_1_CTG1_2
KN538369.1	CHR_HG1362_PATCH
KN538370.1	CHR_HG2247_PATCH
KN538371.1	CHR_HG2288_HG2289_PATCH
KN538372.1	CHR_HG2291_PATCH
KN538373.1	CHR_HG2249_PATCH
KN538374.1	CHR_HG2139_PATCH
KQ031383.1	CHR_HG1342_HG2282_PATCH
KQ031384.1	CHR_HG2290_PATCH
KQ031385.1	CHR_HG2235_PATCH
KQ031386.1	CHR_HG2237_PATCH
KQ031387.1	CHR_HG1651_PATCH
KQ031388.1	CHR_HG2239_PATCH
KQ031389.1	CHR_HSCHR15_6_CTG8
KQ031390.1	CHR_HSCHR16_3_CTG3_1
KQ090013.1	CHR_HSCHR4_2_CTG4
KQ090014.1	CHR_HSCHR4_8_CTG12
KQ090015.1	CHR_HSCHR4_9_CTG12
KQ090016.1	CHR_HG2072_PATCH
KQ090017.1	CHR_HSCHR6_1_CTG10
KQ090018.1	CHR_HSCHR9_1_CTG6
KQ090019.1	CHR_HSCHR9_1_CTG7
KQ090020.1	CHR_HSCHR10_1_CTG6
KQ090021.1	CHR_HG2334_PATCH
KQ090022.1	CHR_HG2116_PATCH
KQ090023.1	CHR_HSCHR12_2_CTG1
KQ090024.1	CHR_HSCHR13_1_CTG7
KQ090025.1	CHR_HSCHR13_1_CTG8
KQ090026.1	CHR_HSCHR16_5_CTG1
KQ090027.1	CHR_HSCHR16_4_CTG3_1
KQ090028.1	CHR_HG2213_PATCH
KQ458382.1	CHR_HSCHR1_3_CTG3
KQ458383.1	CHR_HSCHR1_4_CTG3
KQ458384.1	CHR_HSCHR1_5_CTG32_1
KQ458385.1	CHR_HSCHR18_5_CTG1_1
KQ458386.1	CHR_HG26_PATCH
KQ458387.1	CHR_HSCHR22_6_CTG1
KQ458388.1	CHR_HSCHR22_7_CTG1
KQ759759.1	CHR_HG107_PATCH
KQ759760.1	CHR_HG2063_PATCH
KQ759761.1	CHR_HSCHR22_8_CTG1
KQ759762.1	CHR_HG1311_PATCH
KQ983255.1	CHR_HSCHR1_5_CTG3
KQ983256.1	CHR_HSCHR2_6_CTG7_2
KQ983257.1	CHR_HG2023_PATCH
KQ983258.1	CHR_HSCHR4_11_CTG12
